Nome,Endereço,Latitude,Longitude
Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,"Antenor Viana, Caxias-MA",-4.844423,-43.34999
Centro de Educação Infantil Marcelo Dino Municipal,"Caldeiroes, Caxias-MA",-4.8621976,-43.3701735
Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,"Vila Lobao, Caxias-MA",-4.8789671,-43.3457928
Centro de Educação Infantil Nossa Senhora da Assuncao Municipal,"Nova Caxias, Caxias-MA",-2.0182323,-45.4474687
Centro de Educação Infantil Profa Maria Benedita Pereira da Silva Municipal,"Teso Duro, Caxias-MA",-4.8339933,-43.3542058
Centro de Educação Infantil Brejinho Municipal,"1º Distrito, Caxias-MA",,
Centro de Educação Infantil Elza de Sousa Fonseca Municipal,"Seriema, Caxias-MA",-4.849474604759647,-43.35567148615748
Centro de Educação Infantil Engenho Dagua Municipal,"2º Distrito, Caxias-MA",-4.878196524781592,-43.3341014852467
Centro de Educação Infantil Lucrecia Carneiro Municipal,"Cangalheiro, Caxias-MA",-4.870999964989624,-43.35952740052664
Centro de Educação Infantil Nazare do Bruno Municipal,"2º Distrito, Caxias-MA",,
Centro de Educação Infantil Prefeito Aluizio Lobo Municipal,"Ponte, Caxias-MA",-4.87834,-43.3659251
Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,"Nova Caxias, Caxias-MA",-4.863639403821698,-43.34730057410608
Centro de Educação Infantil Rosina Municipal,"Campo de Belem, Caxias-MA",-4.875273793643403,-43.37203998434975
Centro de Educação Infantil Vereador Catule Municipal,"Jose Castro, Caxias-MA",-4.8795523,-43.367785
Centro de Educação Infantil Vila Arias Municipal,"Matadouro Novo, Caxias-MA",-4.8444437118072115,-43.362036544379635
Centro de Educação Infantil Vila Paraiso Municipal,"Pampulha, Caxias-MA",-4.894799171482565,-43.32641937282194
Colégio Santo Antonio Municipal,"Centro, Caxias-MA",-4.6362733,-43.029075
Creche Materno Infantil Vila Lobao Municipal,"Vila Lobao, Caxias-MA",-4.8789671,-43.3457928
Ec Cruzeiro do Sul VI Municipal,"Centro, Caxias-MA",-4.6362733,-43.029075
Escola Comunitaria Educandario Eva Silva Magalhaes Municipal,"Matadouro Novo, Caxias-MA",-4.837354404898313,-43.3635538407527
Escola Comunitaria Sebastiana Costa Municipal,"Sao Francisco, Caxias-MA",-5.1389852,-43.1553527
Escola Comunitaria Teresinha Brito Pinheiro Municipal,"Cangalheiro, Caxias-MA",-4.872689033800466,-43.35647239688372
Escola Comunitaria Tia Edna Municipal,"Ponte, Caxias-MA",-4.87834,-43.3659251
Escola Municipal José Gentil Rosa Municipal,"Piraja, Caxias-MA",-4.867932,-43.3869448
Escola Municipal São Raimundo Municipal,"Bacuri, Caxias-MA",-4.892767,-43.3552124
Fundamental José Castro Municipal,"Ponte, Caxias-MA",-4.87834,-43.3659251
Jardim de Infancia Gentilzinho Municipal,"Seriema, Caxias-MA",-4.853408240174542,-43.358107918990655
Ue M Enedino Araujo Municipal,"2º Distrito, Caxias-MA",,
Ue Municipal São Francisco Municipal,"2º Distrito, Caxias-MA",,
Uem Domingos da Silva Municipal,"2º Distrito, Caxias-MA",,
Uem Eduvirgem Goncalves Costa Municipal,"2º Distrito, Caxias-MA",,
Unidade Escolar Municipal Francisco Dias Brandao Municipal,"Itapecuruzinho, Caxias-MA",-4.9008347,-43.3459752
