date,value
2004-01-01,429
2004-02-01,431
2004-03-01,432
2004-04-01,432
2004-05-01,432
2004-06-01,429
2004-07-01,430
2004-08-01,436
2004-09-01,440
2004-10-01,445
2004-11-01,449
2004-12-01,455
2005-01-01,455
2005-02-01,457
2005-03-01,458
2005-04-01,458
2005-05-01,459
2005-06-01,459
2005-07-01,463
2005-08-01,463
2005-09-01,464
2005-10-01,464
2005-11-01,464
2005-12-01,463
2006-01-01,458
2006-02-01,457
2006-03-01,456
2006-04-01,455
2006-05-01,455
2006-06-01,454
2006-07-01,454
2006-08-01,455
2006-09-01,454
2006-10-01,458
2006-11-01,459
2006-12-01,462
2007-01-01,463
2007-02-01,464
2007-03-01,464
2007-04-01,465
2007-05-01,467
2007-06-01,467
2007-07-01,468
2007-08-01,467
2007-09-01,468
2007-10-01,470
2007-11-01,472
2007-12-01,466
2008-01-01,467
2008-02-01,465
2008-03-01,463
2008-04-01,462
2008-05-01,462
2008-06-01,462
2008-07-01,462
2008-08-01,463
2008-09-01,464
2008-10-01,463
2008-11-01,464
2008-12-01,466
2009-01-01,466
2009-02-01,467
2009-03-01,468
2009-04-01,466
2009-05-01,466
2009-06-01,465
2009-07-01,463
2009-08-01,463
2009-09-01,463
2009-10-01,464
2009-11-01,463
2009-12-01,463
2010-01-01,465
2010-02-01,465
2010-03-01,466
2010-04-01,466
2010-05-01,464
2010-06-01,463
2010-07-01,463
2010-08-01,461
2010-09-01,461
2010-10-01,460
2010-11-01,457
2010-12-01,456
2011-01-01,455
2011-02-01,454
2011-03-01,455
2011-04-01,454
2011-05-01,454
2011-06-01,454
2011-07-01,455
2011-08-01,455
2011-09-01,453
2011-10-01,451
2011-11-01,449
2011-12-01,454
2012-01-01,454
2012-02-01,457
2012-03-01,458
2012-04-01,457
2012-05-01,456
2012-06-01,453
2012-07-01,453
2012-08-01,450
2012-09-01,448
2012-10-01,447
2012-11-01,444
2012-12-01,442
2013-01-01,440
2013-02-01,439
2013-03-01,436
2013-04-01,437
2013-05-01,435
2013-06-01,435
2013-07-01,434
2013-08-01,434
2013-09-01,431
2013-10-01,427
2013-11-01,426
2013-12-01,425
2014-01-01,423
2014-02-01,421
2014-03-01,420
2014-04-01,419
2014-05-01,418
2014-06-01,416
2014-07-01,415
2014-08-01,415
2014-09-01,415
2014-10-01,414
2014-11-01,415
2014-12-01,414
2015-01-01,414
2015-02-01,414
2015-03-01,413
2015-04-01,413
2015-05-01,411
2015-06-01,409
2015-07-01,407
2015-08-01,405
2015-09-01,405
2015-10-01,405
2015-11-01,407
2015-12-01,406
2016-01-01,405
2016-02-01,405
2016-03-01,404
2016-04-01,404
2016-05-01,405
2016-06-01,405
2016-07-01,404
2016-08-01,404
2016-09-01,405
2016-10-01,404
2016-11-01,403
2016-12-01,400
2017-01-01,398
2017-02-01,398
2017-03-01,397
2017-04-01,396
2017-05-01,397
2017-06-01,397
2017-07-01,397
2017-08-01,396
2017-09-01,397
2017-10-01,399
2017-11-01,400
2017-12-01,402
2018-01-01,402
2018-02-01,403
2018-03-01,404
2018-04-01,406
2018-05-01,408
2018-06-01,410
2018-07-01,410
2018-08-01,409
2018-09-01,408
2018-10-01,408
2018-11-01,408
2018-12-01,409
2019-01-01,410
2019-02-01,410
2019-03-01,411
2019-04-01,410
2019-05-01,409
2019-06-01,410
2019-07-01,409
2019-08-01,410
2019-09-01,409
2019-10-01,409
2019-11-01,407
2019-12-01,408
2020-01-01,407
2020-02-01,405
2020-03-01,405
2020-04-01,404
2020-05-01,403
2020-06-01,403
2020-07-01,403
2020-08-01,403
2020-09-01,403
2020-10-01,403
2020-11-01,405
2020-12-01,406
2021-01-01,406
2021-02-01,408
2021-03-01,408
2021-04-01,408
2021-05-01,408
2021-06-01,408
2021-07-01,407
2021-08-01,407
2021-09-01,407
2021-10-01,407
2021-11-01,406
2021-12-01,405
2022-01-01,404
2022-02-01,403
2022-03-01,401
2022-04-01,399
2022-05-01,396
2022-06-01,394
2022-07-01,393
2022-08-01,392
2022-09-01,391
2022-10-01,388
2022-11-01,387
2022-12-01,386
2023-01-01,385
2023-02-01,385
2023-03-01,383
2023-04-01,382
2023-05-01,381
2023-06-01,379
2023-07-01,379
2023-08-01,378
2023-09-01,376
2023-10-01,375
2023-11-01,373
2023-12-01,371
