date,value
2004-01-01,193
2004-02-01,194
2004-03-01,195
2004-04-01,195
2004-05-01,195
2004-06-01,194
2004-07-01,194
2004-08-01,196
2004-09-01,198
2004-10-01,201
2004-11-01,202
2004-12-01,205
2005-01-01,205
2005-02-01,206
2005-03-01,206
2005-04-01,207
2005-05-01,207
2005-06-01,207
2005-07-01,209
2005-08-01,209
2005-09-01,209
2005-10-01,209
2005-11-01,209
2005-12-01,209
2006-01-01,207
2006-02-01,206
2006-03-01,206
2006-04-01,205
2006-05-01,205
2006-06-01,205
2006-07-01,205
2006-08-01,205
2006-09-01,205
2006-10-01,206
2006-11-01,207
2006-12-01,208
2007-01-01,209
2007-02-01,209
2007-03-01,209
2007-04-01,210
2007-05-01,211
2007-06-01,211
2007-07-01,211
2007-08-01,211
2007-09-01,211
2007-10-01,212
2007-11-01,213
2007-12-01,210
2008-01-01,211
2008-02-01,210
2008-03-01,209
2008-04-01,209
2008-05-01,208
2008-06-01,209
2008-07-01,208
2008-08-01,209
2008-09-01,209
2008-10-01,209
2008-11-01,209
2008-12-01,210
2009-01-01,210
2009-02-01,211
2009-03-01,211
2009-04-01,210
2009-05-01,210
2009-06-01,210
2009-07-01,209
2009-08-01,209
2009-09-01,209
2009-10-01,209
2009-11-01,209
2009-12-01,209
2010-01-01,210
2010-02-01,210
2010-03-01,210
2010-04-01,210
2010-05-01,209
2010-06-01,209
2010-07-01,209
2010-08-01,208
2010-09-01,208
2010-10-01,207
2010-11-01,206
2010-12-01,205
2011-01-01,205
2011-02-01,205
2011-03-01,205
2011-04-01,205
2011-05-01,205
2011-06-01,205
2011-07-01,205
2011-08-01,205
2011-09-01,204
2011-10-01,203
2011-11-01,202
2011-12-01,205
2012-01-01,205
2012-02-01,206
2012-03-01,206
2012-04-01,206
2012-05-01,205
2012-06-01,205
2012-07-01,204
2012-08-01,203
2012-09-01,202
2012-10-01,201
2012-11-01,200
2012-12-01,199
2013-01-01,199
2013-02-01,198
2013-03-01,197
2013-04-01,197
2013-05-01,196
2013-06-01,196
2013-07-01,196
2013-08-01,196
2013-09-01,194
2013-10-01,193
2013-11-01,192
2013-12-01,191
2014-01-01,191
2014-02-01,190
2014-03-01,189
2014-04-01,189
2014-05-01,189
2014-06-01,188
2014-07-01,187
2014-08-01,187
2014-09-01,187
2014-10-01,187
2014-11-01,187
2014-12-01,187
2015-01-01,187
2015-02-01,187
2015-03-01,186
2015-04-01,186
2015-05-01,185
2015-06-01,184
2015-07-01,184
2015-08-01,183
2015-09-01,183
2015-10-01,183
2015-11-01,183
2015-12-01,183
2016-01-01,183
2016-02-01,183
2016-03-01,182
2016-04-01,182
2016-05-01,183
2016-06-01,182
2016-07-01,182
2016-08-01,182
2016-09-01,183
2016-10-01,182
2016-11-01,182
2016-12-01,181
2017-01-01,180
2017-02-01,179
2017-03-01,179
2017-04-01,179
2017-05-01,179
2017-06-01,179
2017-07-01,179
2017-08-01,179
2017-09-01,179
2017-10-01,180
2017-11-01,181
2017-12-01,181
2018-01-01,181
2018-02-01,182
2018-03-01,182
2018-04-01,183
2018-05-01,184
2018-06-01,185
2018-07-01,185
2018-08-01,185
2018-09-01,184
2018-10-01,184
2018-11-01,184
2018-12-01,185
2019-01-01,185
2019-02-01,185
2019-03-01,185
2019-04-01,185
2019-05-01,185
2019-06-01,185
2019-07-01,184
2019-08-01,185
2019-09-01,184
2019-10-01,184
2019-11-01,184
2019-12-01,184
2020-01-01,184
2020-02-01,183
2020-03-01,183
2020-04-01,182
2020-05-01,182
2020-06-01,182
2020-07-01,182
2020-08-01,182
2020-09-01,182
2020-10-01,182
2020-11-01,183
2020-12-01,183
2021-01-01,183
2021-02-01,184
2021-03-01,184
2021-04-01,184
2021-05-01,184
2021-06-01,184
2021-07-01,184
2021-08-01,184
2021-09-01,184
2021-10-01,183
2021-11-01,183
2021-12-01,182
2022-01-01,182
2022-02-01,182
2022-03-01,181
2022-04-01,180
2022-05-01,178
2022-06-01,178
2022-07-01,177
2022-08-01,177
2022-09-01,176
2022-10-01,175
2022-11-01,175
2022-12-01,174
2023-01-01,174
2023-02-01,174
2023-03-01,173
2023-04-01,172
2023-05-01,172
2023-06-01,171
2023-07-01,171
2023-08-01,170
2023-09-01,170
2023-10-01,169
2023-11-01,168
2023-12-01,167
2024-01-01,166
2024-02-01,166
2024-03-01,165
2024-04-01,165
2024-05-01,164
2024-06-01,163
2024-07-01,162
2024-08-01,161
2024-09-01,160
2024-10-01,160
2024-11-01,159
2024-12-01,159
