date,value
2004-01-01,531
2004-02-01,533
2004-03-01,534
2004-04-01,535
2004-05-01,534
2004-06-01,531
2004-07-01,532
2004-08-01,539
2004-09-01,544
2004-10-01,551
2004-11-01,556
2004-12-01,564
2005-01-01,563
2005-02-01,566
2005-03-01,566
2005-04-01,567
2005-05-01,568
2005-06-01,569
2005-07-01,573
2005-08-01,573
2005-09-01,574
2005-10-01,574
2005-11-01,574
2005-12-01,573
2006-01-01,567
2006-02-01,566
2006-03-01,565
2006-04-01,563
2006-05-01,563
2006-06-01,562
2006-07-01,562
2006-08-01,563
2006-09-01,562
2006-10-01,567
2006-11-01,568
2006-12-01,571
2007-01-01,573
2007-02-01,574
2007-03-01,575
2007-04-01,575
2007-05-01,579
2007-06-01,579
2007-07-01,579
2007-08-01,579
2007-09-01,580
2007-10-01,582
2007-11-01,584
2007-12-01,577
2008-01-01,579
2008-02-01,575
2008-03-01,573
2008-04-01,572
2008-05-01,571
2008-06-01,573
2008-07-01,571
2008-08-01,573
2008-09-01,574
2008-10-01,573
2008-11-01,574
2008-12-01,576
2009-01-01,577
2009-02-01,578
2009-03-01,579
2009-04-01,577
2009-05-01,577
2009-06-01,575
2009-07-01,573
2009-08-01,573
2009-09-01,573
2009-10-01,574
2009-11-01,573
2009-12-01,573
2010-01-01,576
2010-02-01,576
2010-03-01,577
2010-04-01,576
2010-05-01,574
2010-06-01,573
2010-07-01,574
2010-08-01,571
2010-09-01,571
2010-10-01,569
2010-11-01,566
2010-12-01,564
2011-01-01,563
2011-02-01,562
2011-03-01,563
2011-04-01,562
2011-05-01,562
2011-06-01,562
2011-07-01,563
2011-08-01,563
2011-09-01,561
2011-10-01,558
2011-11-01,556
2011-12-01,562
2012-01-01,562
2012-02-01,566
2012-03-01,566
2012-04-01,565
2012-05-01,564
2012-06-01,561
2012-07-01,561
2012-08-01,558
2012-09-01,554
2012-10-01,553
2012-11-01,550
2012-12-01,547
2013-01-01,545
2013-02-01,543
2013-03-01,540
2013-04-01,541
2013-05-01,539
2013-06-01,539
2013-07-01,537
2013-08-01,537
2013-09-01,533
2013-10-01,529
2013-11-01,527
2013-12-01,526
2014-01-01,523
2014-02-01,522
2014-03-01,520
2014-04-01,519
2014-05-01,517
2014-06-01,515
2014-07-01,513
2014-08-01,514
2014-09-01,514
2014-10-01,513
2014-11-01,514
2014-12-01,513
2015-01-01,512
2015-02-01,513
2015-03-01,512
2015-04-01,511
2015-05-01,508
2015-06-01,506
2015-07-01,504
2015-08-01,502
2015-09-01,502
2015-10-01,501
2015-11-01,503
2015-12-01,503
2016-01-01,501
2016-02-01,501
2016-03-01,500
2016-04-01,500
2016-05-01,501
2016-06-01,501
2016-07-01,500
2016-08-01,500
2016-09-01,501
2016-10-01,500
2016-11-01,499
2016-12-01,496
2017-01-01,493
2017-02-01,492
2017-03-01,492
2017-04-01,490
2017-05-01,492
2017-06-01,491
2017-07-01,491
2017-08-01,490
2017-09-01,491
2017-10-01,493
2017-11-01,496
2017-12-01,498
2018-01-01,498
2018-02-01,498
2018-03-01,501
2018-04-01,502
2018-05-01,506
2018-06-01,507
2018-07-01,508
2018-08-01,507
2018-09-01,505
2018-10-01,505
2018-11-01,505
2018-12-01,507
2019-01-01,508
2019-02-01,507
2019-03-01,508
2019-04-01,508
2019-05-01,507
2019-06-01,507
2019-07-01,506
2019-08-01,507
2019-09-01,506
2019-10-01,506
2019-11-01,504
2019-12-01,505
2020-01-01,504
2020-02-01,502
2020-03-01,502
2020-04-01,500
2020-05-01,499
2020-06-01,499
2020-07-01,499
2020-08-01,498
2020-09-01,499
2020-10-01,499
2020-11-01,501
2020-12-01,503
2021-01-01,503
2021-02-01,504
2021-03-01,505
2021-04-01,505
2021-05-01,505
2021-06-01,505
2021-07-01,504
2021-08-01,504
2021-09-01,504
2021-10-01,503
2021-11-01,502
2021-12-01,501
2022-01-01,500
2022-02-01,499
2022-03-01,496
2022-04-01,494
2022-05-01,490
2022-06-01,488
2022-07-01,487
2022-08-01,485
2022-09-01,484
2022-10-01,481
2022-11-01,480
2022-12-01,478
2023-01-01,477
2023-02-01,477
2023-03-01,474
2023-04-01,473
2023-05-01,472
2023-06-01,469
2023-07-01,469
2023-08-01,467
2023-09-01,466
2023-10-01,464
2023-11-01,461
2023-12-01,459
