date,value
2004-01-01,342
2004-02-01,343
2004-03-01,344
2004-04-01,344
2004-05-01,344
2004-06-01,342
2004-07-01,343
2004-08-01,347
2004-09-01,350
2004-10-01,355
2004-11-01,358
2004-12-01,363
2005-01-01,362
2005-02-01,364
2005-03-01,364
2005-04-01,365
2005-05-01,365
2005-06-01,366
2005-07-01,369
2005-08-01,369
2005-09-01,369
2005-10-01,369
2005-11-01,369
2005-12-01,369
2006-01-01,365
2006-02-01,364
2006-03-01,363
2006-04-01,362
2006-05-01,362
2006-06-01,362
2006-07-01,361
2006-08-01,362
2006-09-01,361
2006-10-01,365
2006-11-01,366
2006-12-01,368
2007-01-01,369
2007-02-01,370
2007-03-01,370
2007-04-01,370
2007-05-01,372
2007-06-01,372
2007-07-01,372
2007-08-01,372
2007-09-01,373
2007-10-01,374
2007-11-01,376
2007-12-01,372
2008-01-01,372
2008-02-01,370
2008-03-01,369
2008-04-01,368
2008-05-01,368
2008-06-01,368
2008-07-01,368
2008-08-01,369
2008-09-01,369
2008-10-01,369
2008-11-01,370
2008-12-01,371
2009-01-01,371
2009-02-01,372
2009-03-01,373
2009-04-01,371
2009-05-01,371
2009-06-01,370
2009-07-01,369
2009-08-01,369
2009-09-01,369
2009-10-01,370
2009-11-01,369
2009-12-01,369
2010-01-01,370
2010-02-01,370
2010-03-01,371
2010-04-01,371
2010-05-01,369
2010-06-01,369
2010-07-01,369
2010-08-01,367
2010-09-01,367
2010-10-01,366
2010-11-01,364
2010-12-01,363
2011-01-01,362
2011-02-01,362
2011-03-01,362
2011-04-01,361
2011-05-01,362
2011-06-01,362
2011-07-01,362
2011-08-01,362
2011-09-01,361
2011-10-01,359
2011-11-01,358
2011-12-01,362
2012-01-01,362
2012-02-01,364
2012-03-01,365
2012-04-01,364
2012-05-01,363
2012-06-01,361
2012-07-01,361
2012-08-01,359
2012-09-01,356
2012-10-01,356
2012-11-01,354
2012-12-01,352
2013-01-01,351
2013-02-01,349
2013-03-01,347
2013-04-01,348
2013-05-01,347
2013-06-01,347
2013-07-01,346
2013-08-01,346
2013-09-01,343
2013-10-01,340
2013-11-01,339
2013-12-01,338
2014-01-01,337
2014-02-01,336
2014-03-01,334
2014-04-01,334
2014-05-01,333
2014-06-01,331
2014-07-01,330
2014-08-01,331
2014-09-01,330
2014-10-01,330
2014-11-01,331
2014-12-01,330
2015-01-01,330
2015-02-01,330
2015-03-01,329
2015-04-01,329
2015-05-01,327
2015-06-01,326
2015-07-01,325
2015-08-01,323
2015-09-01,323
2015-10-01,323
2015-11-01,324
2015-12-01,323
2016-01-01,323
2016-02-01,323
2016-03-01,322
2016-04-01,322
2016-05-01,322
2016-06-01,322
2016-07-01,322
2016-08-01,322
2016-09-01,323
2016-10-01,322
2016-11-01,321
2016-12-01,319
2017-01-01,317
2017-02-01,317
2017-03-01,316
2017-04-01,315
2017-05-01,316
2017-06-01,316
2017-07-01,316
2017-08-01,316
2017-09-01,316
2017-10-01,318
2017-11-01,319
2017-12-01,320
2018-01-01,321
2018-02-01,321
2018-03-01,322
2018-04-01,323
2018-05-01,325
2018-06-01,326
2018-07-01,327
2018-08-01,326
2018-09-01,325
2018-10-01,325
2018-11-01,325
2018-12-01,326
2019-01-01,327
2019-02-01,327
2019-03-01,327
2019-04-01,327
2019-05-01,326
2019-06-01,326
2019-07-01,326
2019-08-01,326
2019-09-01,326
2019-10-01,326
2019-11-01,324
2019-12-01,325
2020-01-01,325
2020-02-01,323
2020-03-01,323
2020-04-01,322
2020-05-01,321
2020-06-01,321
2020-07-01,321
2020-08-01,321
2020-09-01,321
2020-10-01,321
2020-11-01,322
2020-12-01,324
2021-01-01,324
2021-02-01,325
2021-03-01,325
2021-04-01,325
2021-05-01,325
2021-06-01,325
2021-07-01,324
2021-08-01,324
2021-09-01,324
2021-10-01,324
2021-11-01,323
2021-12-01,322
2022-01-01,322
2022-02-01,321
2022-03-01,319
2022-04-01,318
2022-05-01,315
2022-06-01,314
2022-07-01,313
2022-08-01,312
2022-09-01,311
2022-10-01,309
2022-11-01,309
2022-12-01,308
2023-01-01,307
2023-02-01,307
2023-03-01,305
2023-04-01,304
2023-05-01,303
2023-06-01,302
2023-07-01,302
2023-08-01,301
2023-09-01,300
2023-10-01,299
2023-11-01,297
2023-12-01,295
2024-01-01,294
2024-02-01,293
2024-03-01,291
2024-04-01,291
2024-05-01,290
2024-06-01,288
2024-07-01,286
2024-08-01,285
2024-09-01,283
2024-10-01,282
2024-11-01,281
2024-12-01,280
