date,value
2004-01-01,716
2004-02-01,719
2004-03-01,721
2004-04-01,722
2004-05-01,721
2004-06-01,717
2004-07-01,718
2004-08-01,728
2004-09-01,734
2004-10-01,744
2004-11-01,750
2004-12-01,760
2005-01-01,760
2005-02-01,763
2005-03-01,764
2005-04-01,765
2005-05-01,766
2005-06-01,767
2005-07-01,773
2005-08-01,774
2005-09-01,774
2005-10-01,774
2005-11-01,774
2005-12-01,773
2006-01-01,765
2006-02-01,764
2006-03-01,762
2006-04-01,759
2006-05-01,760
2006-06-01,759
2006-07-01,758
2006-08-01,759
2006-09-01,758
2006-10-01,764
2006-11-01,767
2006-12-01,771
2007-01-01,773
2007-02-01,775
2007-03-01,775
2007-04-01,776
2007-05-01,781
2007-06-01,781
2007-07-01,781
2007-08-01,781
2007-09-01,782
2007-10-01,785
2007-11-01,787
2007-12-01,779
2008-01-01,780
2008-02-01,776
2008-03-01,773
2008-04-01,772
2008-05-01,771
2008-06-01,772
2008-07-01,771
2008-08-01,773
2008-09-01,775
2008-10-01,773
2008-11-01,775
2008-12-01,778
2009-01-01,779
2009-02-01,780
2009-03-01,781
2009-04-01,778
2009-05-01,779
2009-06-01,776
2009-07-01,773
2009-08-01,773
2009-09-01,773
2009-10-01,775
2009-11-01,773
2009-12-01,773
2010-01-01,777
2010-02-01,776
2010-03-01,778
2010-04-01,778
2010-05-01,774
2010-06-01,774
2010-07-01,774
2010-08-01,770
2010-09-01,770
2010-10-01,767
2010-11-01,764
2010-12-01,761
2011-01-01,759
2011-02-01,759
2011-03-01,760
2011-04-01,758
2011-05-01,759
2011-06-01,758
2011-07-01,760
2011-08-01,760
2011-09-01,756
2011-10-01,753
2011-11-01,750
2011-12-01,758
2012-01-01,758
2012-02-01,764
2012-03-01,764
2012-04-01,763
2012-05-01,761
2012-06-01,757
2012-07-01,756
2012-08-01,752
2012-09-01,747
2012-10-01,746
2012-11-01,741
2012-12-01,738
2013-01-01,735
2013-02-01,732
2013-03-01,728
2013-04-01,730
2013-05-01,727
2013-06-01,727
2013-07-01,725
2013-08-01,724
2013-09-01,719
2013-10-01,714
2013-11-01,711
2013-12-01,709
2014-01-01,706
2014-02-01,704
2014-03-01,701
2014-04-01,699
2014-05-01,698
2014-06-01,695
2014-07-01,693
2014-08-01,694
2014-09-01,693
2014-10-01,692
2014-11-01,693
2014-12-01,691
2015-01-01,691
2015-02-01,692
2015-03-01,690
2015-04-01,689
2015-05-01,686
2015-06-01,683
2015-07-01,680
2015-08-01,677
2015-09-01,677
2015-10-01,676
2015-11-01,679
2015-12-01,678
2016-01-01,676
2016-02-01,676
2016-03-01,675
2016-04-01,674
2016-05-01,676
2016-06-01,676
2016-07-01,674
2016-08-01,674
2016-09-01,676
2016-10-01,675
2016-11-01,673
2016-12-01,669
2017-01-01,665
2017-02-01,664
2017-03-01,663
2017-04-01,661
2017-05-01,663
2017-06-01,662
2017-07-01,663
2017-08-01,661
2017-09-01,663
2017-10-01,666
2017-11-01,668
2017-12-01,672
2018-01-01,672
2018-02-01,672
2018-03-01,675
2018-04-01,678
2018-05-01,682
2018-06-01,684
2018-07-01,685
2018-08-01,684
2018-09-01,681
2018-10-01,681
2018-11-01,681
2018-12-01,684
2019-01-01,685
2019-02-01,685
2019-03-01,686
2019-04-01,685
2019-05-01,684
2019-06-01,684
2019-07-01,683
2019-08-01,684
2019-09-01,683
2019-10-01,683
2019-11-01,680
2019-12-01,681
2020-01-01,680
2020-02-01,677
2020-03-01,677
2020-04-01,675
2020-05-01,673
2020-06-01,673
2020-07-01,674
2020-08-01,672
2020-09-01,673
2020-10-01,673
2020-11-01,676
2020-12-01,678
2021-01-01,679
2021-02-01,681
2021-03-01,681
2021-04-01,682
2021-05-01,681
2021-06-01,681
2021-07-01,680
2021-08-01,680
2021-09-01,680
2021-10-01,679
2021-11-01,678
2021-12-01,676
2022-01-01,674
2022-02-01,673
2022-03-01,669
2022-04-01,666
2022-05-01,661
2022-06-01,658
2022-07-01,657
2022-08-01,655
2022-09-01,653
2022-10-01,648
2022-11-01,647
2022-12-01,645
2023-01-01,643
2023-02-01,643
2023-03-01,640
2023-04-01,638
2023-05-01,636
2023-06-01,633
2023-07-01,633
2023-08-01,630
2023-09-01,628
2023-10-01,626
2023-11-01,622
2023-12-01,619
2024-01-01,616
2024-02-01,615
2024-03-01,611
2024-04-01,609
2024-05-01,607
2024-06-01,604
2024-07-01,600
2024-08-01,598
2024-09-01,592
2024-10-01,591
2024-11-01,589
2024-12-01,587
