date,value
2004-01-01,208
2004-02-01,209
2004-03-01,209
2004-04-01,209
2004-05-01,209
2004-06-01,208
2004-07-01,208
2004-08-01,211
2004-09-01,213
2004-10-01,216
2004-11-01,217
2004-12-01,221
2005-01-01,220
2005-02-01,221
2005-03-01,222
2005-04-01,222
2005-05-01,222
2005-06-01,223
2005-07-01,224
2005-08-01,224
2005-09-01,225
2005-10-01,225
2005-11-01,225
2005-12-01,224
2006-01-01,222
2006-02-01,221
2006-03-01,221
2006-04-01,220
2006-05-01,220
2006-06-01,220
2006-07-01,220
2006-08-01,220
2006-09-01,220
2006-10-01,222
2006-11-01,222
2006-12-01,224
2007-01-01,224
2007-02-01,225
2007-03-01,225
2007-04-01,225
2007-05-01,226
2007-06-01,226
2007-07-01,226
2007-08-01,226
2007-09-01,227
2007-10-01,228
2007-11-01,228
2007-12-01,226
2008-01-01,226
2008-02-01,225
2008-03-01,224
2008-04-01,224
2008-05-01,224
2008-06-01,224
2008-07-01,224
2008-08-01,224
2008-09-01,225
2008-10-01,224
2008-11-01,225
2008-12-01,226
2009-01-01,226
2009-02-01,226
2009-03-01,227
2009-04-01,226
2009-05-01,226
2009-06-01,225
2009-07-01,224
2009-08-01,224
2009-09-01,224
2009-10-01,225
2009-11-01,224
2009-12-01,224
2010-01-01,225
2010-02-01,225
2010-03-01,226
2010-04-01,226
2010-05-01,225
2010-06-01,224
2010-07-01,224
2010-08-01,223
2010-09-01,223
2010-10-01,223
2010-11-01,221
2010-12-01,221
2011-01-01,220
2011-02-01,220
2011-03-01,220
2011-04-01,220
2011-05-01,220
2011-06-01,220
2011-07-01,220
2011-08-01,220
2011-09-01,219
2011-10-01,218
2011-11-01,217
2011-12-01,220
2012-01-01,220
2012-02-01,222
2012-03-01,222
2012-04-01,221
2012-05-01,221
2012-06-01,220
2012-07-01,219
2012-08-01,218
2012-09-01,217
2012-10-01,216
2012-11-01,215
2012-12-01,214
2013-01-01,213
2013-02-01,212
2013-03-01,211
2013-04-01,212
2013-05-01,211
2013-06-01,211
2013-07-01,210
2013-08-01,210
2013-09-01,209
2013-10-01,207
2013-11-01,206
2013-12-01,206
2014-01-01,205
2014-02-01,204
2014-03-01,203
2014-04-01,203
2014-05-01,202
2014-06-01,202
2014-07-01,201
2014-08-01,201
2014-09-01,201
2014-10-01,201
2014-11-01,201
2014-12-01,201
2015-01-01,200
2015-02-01,201
2015-03-01,200
2015-04-01,200
2015-05-01,199
2015-06-01,198
2015-07-01,197
2015-08-01,196
2015-09-01,196
2015-10-01,196
2015-11-01,197
2015-12-01,197
2016-01-01,196
2016-02-01,196
2016-03-01,196
2016-04-01,196
2016-05-01,196
2016-06-01,196
2016-07-01,196
2016-08-01,196
2016-09-01,196
2016-10-01,196
2016-11-01,195
2016-12-01,194
2017-01-01,193
2017-02-01,193
2017-03-01,192
2017-04-01,192
2017-05-01,192
2017-06-01,192
2017-07-01,192
2017-08-01,192
2017-09-01,192
2017-10-01,193
2017-11-01,194
2017-12-01,195
2018-01-01,195
2018-02-01,195
2018-03-01,196
2018-04-01,197
2018-05-01,198
2018-06-01,198
2018-07-01,199
2018-08-01,198
2018-09-01,198
2018-10-01,198
2018-11-01,197
2018-12-01,198
2019-01-01,199
2019-02-01,199
2019-03-01,199
2019-04-01,199
2019-05-01,198
2019-06-01,198
2019-07-01,198
2019-08-01,199
2019-09-01,198
2019-10-01,198
2019-11-01,197
2019-12-01,198
2020-01-01,197
2020-02-01,196
2020-03-01,196
2020-04-01,196
2020-05-01,195
2020-06-01,195
2020-07-01,195
2020-08-01,195
2020-09-01,195
2020-10-01,195
2020-11-01,196
2020-12-01,197
2021-01-01,197
2021-02-01,197
2021-03-01,197
2021-04-01,198
2021-05-01,197
2021-06-01,198
2021-07-01,197
2021-08-01,197
2021-09-01,197
2021-10-01,197
2021-11-01,197
2021-12-01,196
2022-01-01,196
2022-02-01,195
2022-03-01,194
2022-04-01,193
2022-05-01,192
2022-06-01,191
2022-07-01,191
2022-08-01,190
2022-09-01,189
2022-10-01,188
2022-11-01,188
2022-12-01,187
2023-01-01,187
2023-02-01,187
2023-03-01,186
2023-04-01,185
2023-05-01,185
2023-06-01,184
2023-07-01,184
2023-08-01,183
2023-09-01,182
2023-10-01,182
2023-11-01,181
2023-12-01,180
2024-01-01,179
2024-02-01,178
2024-03-01,177
2024-04-01,177
2024-05-01,176
2024-06-01,175
2024-07-01,174
2024-08-01,173
2024-09-01,172
2024-10-01,171
2024-11-01,171
2024-12-01,170
