date,value
2004-01-01,286
2004-02-01,287
2004-03-01,287
2004-04-01,288
2004-05-01,288
2004-06-01,286
2004-07-01,286
2004-08-01,290
2004-09-01,293
2004-10-01,297
2004-11-01,299
2004-12-01,303
2005-01-01,303
2005-02-01,304
2005-03-01,305
2005-04-01,305
2005-05-01,306
2005-06-01,306
2005-07-01,308
2005-08-01,309
2005-09-01,309
2005-10-01,309
2005-11-01,309
2005-12-01,308
2006-01-01,305
2006-02-01,305
2006-03-01,304
2006-04-01,303
2006-05-01,303
2006-06-01,303
2006-07-01,302
2006-08-01,303
2006-09-01,302
2006-10-01,305
2006-11-01,306
2006-12-01,307
2007-01-01,308
2007-02-01,309
2007-03-01,309
2007-04-01,310
2007-05-01,311
2007-06-01,311
2007-07-01,311
2007-08-01,311
2007-09-01,312
2007-10-01,313
2007-11-01,314
2007-12-01,311
2008-01-01,311
2008-02-01,310
2008-03-01,308
2008-04-01,308
2008-05-01,307
2008-06-01,308
2008-07-01,307
2008-08-01,308
2008-09-01,309
2008-10-01,308
2008-11-01,309
2008-12-01,310
2009-01-01,311
2009-02-01,311
2009-03-01,312
2009-04-01,310
2009-05-01,311
2009-06-01,310
2009-07-01,308
2009-08-01,308
2009-09-01,308
2009-10-01,309
2009-11-01,308
2009-12-01,308
2010-01-01,310
2010-02-01,310
2010-03-01,310
2010-04-01,310
2010-05-01,309
2010-06-01,309
2010-07-01,309
2010-08-01,307
2010-09-01,307
2010-10-01,306
2010-11-01,305
2010-12-01,303
2011-01-01,303
2011-02-01,303
2011-03-01,303
2011-04-01,302
2011-05-01,303
2011-06-01,302
2011-07-01,303
2011-08-01,303
2011-09-01,302
2011-10-01,300
2011-11-01,299
2011-12-01,303
2012-01-01,302
2012-02-01,305
2012-03-01,305
2012-04-01,304
2012-05-01,303
2012-06-01,302
2012-07-01,302
2012-08-01,300
2012-09-01,298
2012-10-01,297
2012-11-01,296
2012-12-01,294
2013-01-01,293
2013-02-01,292
2013-03-01,290
2013-04-01,291
2013-05-01,290
2013-06-01,290
2013-07-01,289
2013-08-01,289
2013-09-01,287
2013-10-01,285
2013-11-01,284
2013-12-01,283
2014-01-01,282
2014-02-01,281
2014-03-01,280
2014-04-01,279
2014-05-01,278
2014-06-01,277
2014-07-01,276
2014-08-01,277
2014-09-01,276
2014-10-01,276
2014-11-01,276
2014-12-01,276
2015-01-01,276
2015-02-01,276
2015-03-01,275
2015-04-01,275
2015-05-01,273
2015-06-01,272
2015-07-01,271
2015-08-01,270
2015-09-01,270
2015-10-01,270
2015-11-01,271
2015-12-01,270
2016-01-01,270
2016-02-01,270
2016-03-01,269
2016-04-01,269
2016-05-01,270
2016-06-01,269
2016-07-01,269
2016-08-01,269
2016-09-01,270
2016-10-01,269
2016-11-01,268
2016-12-01,267
2017-01-01,265
2017-02-01,265
2017-03-01,265
2017-04-01,264
2017-05-01,265
2017-06-01,264
2017-07-01,264
2017-08-01,264
2017-09-01,264
2017-10-01,265
2017-11-01,267
2017-12-01,268
2018-01-01,268
2018-02-01,268
2018-03-01,269
2018-04-01,270
2018-05-01,272
2018-06-01,273
2018-07-01,273
2018-08-01,273
2018-09-01,272
2018-10-01,272
2018-11-01,271
2018-12-01,273
2019-01-01,273
2019-02-01,273
2019-03-01,273
2019-04-01,273
2019-05-01,273
2019-06-01,273
2019-07-01,272
2019-08-01,273
2019-09-01,272
2019-10-01,272
2019-11-01,271
2019-12-01,272
2020-01-01,271
2020-02-01,270
2020-03-01,270
2020-04-01,269
2020-05-01,269
2020-06-01,268
2020-07-01,269
2020-08-01,268
2020-09-01,268
2020-10-01,268
2020-11-01,270
2020-12-01,270
2021-01-01,271
2021-02-01,271
2021-03-01,271
2021-04-01,272
2021-05-01,272
2021-06-01,272
2021-07-01,271
2021-08-01,271
2021-09-01,271
2021-10-01,271
2021-11-01,270
2021-12-01,269
2022-01-01,269
2022-02-01,268
2022-03-01,267
2022-04-01,266
2022-05-01,264
2022-06-01,262
2022-07-01,262
2022-08-01,261
2022-09-01,260
2022-10-01,259
2022-11-01,258
2022-12-01,257
2023-01-01,257
2023-02-01,257
2023-03-01,255
2023-04-01,254
2023-05-01,254
2023-06-01,253
2023-07-01,252
2023-08-01,251
2023-09-01,251
2023-10-01,250
2023-11-01,248
2023-12-01,247
