date,value
2004-01-01,277
2004-02-01,278
2004-03-01,278
2004-04-01,279
2004-05-01,278
2004-06-01,277
2004-07-01,277
2004-08-01,281
2004-09-01,284
2004-10-01,287
2004-11-01,290
2004-12-01,294
2005-01-01,293
2005-02-01,295
2005-03-01,295
2005-04-01,295
2005-05-01,296
2005-06-01,296
2005-07-01,298
2005-08-01,299
2005-09-01,299
2005-10-01,299
2005-11-01,299
2005-12-01,298
2006-01-01,296
2006-02-01,295
2006-03-01,294
2006-04-01,293
2006-05-01,293
2006-06-01,293
2006-07-01,293
2006-08-01,293
2006-09-01,293
2006-10-01,295
2006-11-01,296
2006-12-01,298
2007-01-01,299
2007-02-01,299
2007-03-01,299
2007-04-01,300
2007-05-01,301
2007-06-01,301
2007-07-01,302
2007-08-01,301
2007-09-01,302
2007-10-01,303
2007-11-01,304
2007-12-01,301
2008-01-01,301
2008-02-01,300
2008-03-01,299
2008-04-01,298
2008-05-01,298
2008-06-01,298
2008-07-01,298
2008-08-01,299
2008-09-01,299
2008-10-01,299
2008-11-01,299
2008-12-01,300
2009-01-01,301
2009-02-01,301
2009-03-01,302
2009-04-01,300
2009-05-01,301
2009-06-01,300
2009-07-01,298
2009-08-01,299
2009-09-01,298
2009-10-01,299
2009-11-01,299
2009-12-01,299
2010-01-01,300
2010-02-01,300
2010-03-01,300
2010-04-01,300
2010-05-01,299
2010-06-01,299
2010-07-01,299
2010-08-01,298
2010-09-01,298
2010-10-01,296
2010-11-01,295
2010-12-01,294
2011-01-01,293
2011-02-01,293
2011-03-01,293
2011-04-01,293
2011-05-01,293
2011-06-01,293
2011-07-01,293
2011-08-01,293
2011-09-01,292
2011-10-01,291
2011-11-01,290
2011-12-01,293
2012-01-01,293
2012-02-01,295
2012-03-01,295
2012-04-01,295
2012-05-01,294
2012-06-01,292
2012-07-01,292
2012-08-01,290
2012-09-01,289
2012-10-01,288
2012-11-01,286
2012-12-01,285
2013-01-01,284
2013-02-01,283
2013-03-01,281
2013-04-01,282
2013-05-01,281
2013-06-01,281
2013-07-01,280
2013-08-01,280
2013-09-01,278
2013-10-01,276
2013-11-01,275
2013-12-01,274
2014-01-01,273
2014-02-01,272
2014-03-01,271
2014-04-01,270
2014-05-01,270
2014-06-01,268
2014-07-01,267
2014-08-01,268
2014-09-01,268
2014-10-01,267
2014-11-01,268
2014-12-01,267
2015-01-01,267
2015-02-01,267
2015-03-01,266
2015-04-01,266
2015-05-01,265
2015-06-01,264
2015-07-01,263
2015-08-01,261
2015-09-01,261
2015-10-01,261
2015-11-01,262
2015-12-01,262
2016-01-01,261
2016-02-01,261
2016-03-01,261
2016-04-01,260
2016-05-01,261
2016-06-01,261
2016-07-01,260
2016-08-01,260
2016-09-01,261
2016-10-01,261
2016-11-01,260
2016-12-01,258
2017-01-01,257
2017-02-01,256
2017-03-01,256
2017-04-01,255
2017-05-01,256
2017-06-01,256
2017-07-01,256
2017-08-01,255
2017-09-01,256
2017-10-01,257
2017-11-01,258
2017-12-01,259
2018-01-01,260
2018-02-01,260
2018-03-01,261
2018-04-01,262
2018-05-01,263
2018-06-01,264
2018-07-01,264
2018-08-01,264
2018-09-01,263
2018-10-01,263
2018-11-01,263
2018-12-01,264
2019-01-01,264
2019-02-01,264
2019-03-01,265
2019-04-01,265
2019-05-01,264
2019-06-01,264
2019-07-01,264
2019-08-01,264
2019-09-01,264
2019-10-01,264
2019-11-01,263
2019-12-01,263
2020-01-01,263
2020-02-01,261
2020-03-01,261
2020-04-01,261
2020-05-01,260
2020-06-01,260
2020-07-01,260
2020-08-01,260
2020-09-01,260
2020-10-01,260
2020-11-01,261
2020-12-01,262
2021-01-01,262
2021-02-01,263
2021-03-01,263
2021-04-01,263
2021-05-01,263
2021-06-01,263
2021-07-01,263
2021-08-01,262
2021-09-01,263
2021-10-01,262
2021-11-01,262
2021-12-01,261
2022-01-01,260
2022-02-01,260
2022-03-01,258
2022-04-01,257
2022-05-01,255
2022-06-01,254
2022-07-01,254
2022-08-01,253
2022-09-01,252
2022-10-01,250
2022-11-01,250
2022-12-01,249
2023-01-01,249
2023-02-01,248
2023-03-01,247
2023-04-01,246
2023-05-01,246
2023-06-01,245
2023-07-01,244
2023-08-01,243
2023-09-01,243
2023-10-01,242
2023-11-01,240
2023-12-01,239
2024-01-01,238
2024-02-01,237
2024-03-01,236
2024-04-01,235
2024-05-01,234
2024-06-01,233
2024-07-01,232
2024-08-01,231
2024-09-01,229
2024-10-01,228
2024-11-01,227
2024-12-01,227
