date,value
2004-01-01,260
2004-02-01,261
2004-03-01,261
2004-04-01,262
2004-05-01,261
2004-06-01,260
2004-07-01,260
2004-08-01,264
2004-09-01,266
2004-10-01,270
2004-11-01,272
2004-12-01,276
2005-01-01,275
2005-02-01,277
2005-03-01,277
2005-04-01,278
2005-05-01,278
2005-06-01,278
2005-07-01,280
2005-08-01,281
2005-09-01,281
2005-10-01,281
2005-11-01,281
2005-12-01,280
2006-01-01,278
2006-02-01,277
2006-03-01,276
2006-04-01,275
2006-05-01,276
2006-06-01,275
2006-07-01,275
2006-08-01,275
2006-09-01,275
2006-10-01,277
2006-11-01,278
2006-12-01,280
2007-01-01,280
2007-02-01,281
2007-03-01,281
2007-04-01,282
2007-05-01,283
2007-06-01,283
2007-07-01,283
2007-08-01,283
2007-09-01,284
2007-10-01,285
2007-11-01,286
2007-12-01,283
2008-01-01,283
2008-02-01,282
2008-03-01,280
2008-04-01,280
2008-05-01,280
2008-06-01,280
2008-07-01,280
2008-08-01,280
2008-09-01,281
2008-10-01,280
2008-11-01,281
2008-12-01,282
2009-01-01,282
2009-02-01,283
2009-03-01,283
2009-04-01,282
2009-05-01,282
2009-06-01,281
2009-07-01,280
2009-08-01,281
2009-09-01,280
2009-10-01,281
2009-11-01,280
2009-12-01,280
2010-01-01,282
2010-02-01,282
2010-03-01,282
2010-04-01,282
2010-05-01,281
2010-06-01,281
2010-07-01,281
2010-08-01,279
2010-09-01,279
2010-10-01,278
2010-11-01,277
2010-12-01,276
2011-01-01,275
2011-02-01,275
2011-03-01,276
2011-04-01,275
2011-05-01,275
2011-06-01,275
2011-07-01,276
2011-08-01,276
2011-09-01,274
2011-10-01,273
2011-11-01,272
2011-12-01,275
2012-01-01,275
2012-02-01,277
2012-03-01,277
2012-04-01,277
2012-05-01,276
2012-06-01,275
2012-07-01,274
2012-08-01,273
2012-09-01,271
2012-10-01,271
2012-11-01,269
2012-12-01,268
2013-01-01,267
2013-02-01,266
2013-03-01,264
2013-04-01,265
2013-05-01,264
2013-06-01,264
2013-07-01,263
2013-08-01,263
2013-09-01,261
2013-10-01,259
2013-11-01,258
2013-12-01,257
2014-01-01,256
2014-02-01,255
2014-03-01,254
2014-04-01,254
2014-05-01,253
2014-06-01,252
2014-07-01,251
2014-08-01,252
2014-09-01,251
2014-10-01,251
2014-11-01,251
2014-12-01,251
2015-01-01,251
2015-02-01,251
2015-03-01,250
2015-04-01,250
2015-05-01,249
2015-06-01,248
2015-07-01,247
2015-08-01,246
2015-09-01,245
2015-10-01,245
2015-11-01,246
2015-12-01,246
2016-01-01,245
2016-02-01,245
2016-03-01,245
2016-04-01,245
2016-05-01,245
2016-06-01,245
2016-07-01,245
2016-08-01,245
2016-09-01,245
2016-10-01,245
2016-11-01,244
2016-12-01,243
2017-01-01,241
2017-02-01,241
2017-03-01,241
2017-04-01,240
2017-05-01,241
2017-06-01,240
2017-07-01,240
2017-08-01,240
2017-09-01,240
2017-10-01,241
2017-11-01,242
2017-12-01,244
2018-01-01,244
2018-02-01,244
2018-03-01,245
2018-04-01,246
2018-05-01,247
2018-06-01,248
2018-07-01,248
2018-08-01,248
2018-09-01,247
2018-10-01,247
2018-11-01,247
2018-12-01,248
2019-01-01,248
2019-02-01,248
2019-03-01,249
2019-04-01,248
2019-05-01,248
2019-06-01,248
2019-07-01,248
2019-08-01,248
2019-09-01,248
2019-10-01,248
2019-11-01,247
2019-12-01,247
2020-01-01,247
2020-02-01,245
2020-03-01,246
2020-04-01,245
2020-05-01,244
2020-06-01,244
2020-07-01,244
2020-08-01,244
2020-09-01,244
2020-10-01,244
2020-11-01,245
2020-12-01,246
2021-01-01,246
2021-02-01,247
2021-03-01,247
2021-04-01,247
2021-05-01,247
2021-06-01,247
2021-07-01,247
2021-08-01,246
2021-09-01,247
2021-10-01,246
2021-11-01,246
2021-12-01,245
2022-01-01,245
2022-02-01,244
2022-03-01,243
2022-04-01,242
2022-05-01,240
2022-06-01,239
2022-07-01,238
2022-08-01,238
2022-09-01,237
2022-10-01,235
2022-11-01,235
2022-12-01,234
2023-01-01,233
2023-02-01,233
2023-03-01,232
2023-04-01,231
2023-05-01,231
2023-06-01,230
2023-07-01,230
2023-08-01,229
2023-09-01,228
2023-10-01,227
2023-11-01,226
2023-12-01,225
