date,value
2004-01-01,314
2004-02-01,316
2004-03-01,316
2004-04-01,317
2004-05-01,316
2004-06-01,315
2004-07-01,315
2004-08-01,319
2004-09-01,322
2004-10-01,326
2004-11-01,329
2004-12-01,334
2005-01-01,333
2005-02-01,335
2005-03-01,335
2005-04-01,336
2005-05-01,336
2005-06-01,337
2005-07-01,339
2005-08-01,339
2005-09-01,340
2005-10-01,340
2005-11-01,340
2005-12-01,339
2006-01-01,336
2006-02-01,335
2006-03-01,334
2006-04-01,333
2006-05-01,333
2006-06-01,333
2006-07-01,332
2006-08-01,333
2006-09-01,333
2006-10-01,335
2006-11-01,337
2006-12-01,338
2007-01-01,339
2007-02-01,340
2007-03-01,340
2007-04-01,341
2007-05-01,343
2007-06-01,343
2007-07-01,343
2007-08-01,343
2007-09-01,343
2007-10-01,344
2007-11-01,346
2007-12-01,342
2008-01-01,342
2008-02-01,341
2008-03-01,339
2008-04-01,339
2008-05-01,338
2008-06-01,339
2008-07-01,338
2008-08-01,339
2008-09-01,340
2008-10-01,339
2008-11-01,340
2008-12-01,341
2009-01-01,342
2009-02-01,342
2009-03-01,343
2009-04-01,341
2009-05-01,342
2009-06-01,341
2009-07-01,339
2009-08-01,339
2009-09-01,339
2009-10-01,340
2009-11-01,339
2009-12-01,339
2010-01-01,341
2010-02-01,341
2010-03-01,341
2010-04-01,341
2010-05-01,340
2010-06-01,339
2010-07-01,340
2010-08-01,338
2010-09-01,338
2010-10-01,337
2010-11-01,335
2010-12-01,334
2011-01-01,333
2011-02-01,333
2011-03-01,333
2011-04-01,333
2011-05-01,333
2011-06-01,333
2011-07-01,333
2011-08-01,333
2011-09-01,332
2011-10-01,330
2011-11-01,329
2011-12-01,333
2012-01-01,333
2012-02-01,335
2012-03-01,335
2012-04-01,335
2012-05-01,334
2012-06-01,332
2012-07-01,332
2012-08-01,330
2012-09-01,328
2012-10-01,327
2012-11-01,325
2012-12-01,324
2013-01-01,323
2013-02-01,321
2013-03-01,319
2013-04-01,320
2013-05-01,319
2013-06-01,319
2013-07-01,318
2013-08-01,318
2013-09-01,316
2013-10-01,313
2013-11-01,312
2013-12-01,311
2014-01-01,310
2014-02-01,309
2014-03-01,308
2014-04-01,307
2014-05-01,306
2014-06-01,305
2014-07-01,304
2014-08-01,304
2014-09-01,304
2014-10-01,303
2014-11-01,304
2014-12-01,303
2015-01-01,303
2015-02-01,304
2015-03-01,303
2015-04-01,302
2015-05-01,301
2015-06-01,300
2015-07-01,299
2015-08-01,297
2015-09-01,297
2015-10-01,297
2015-11-01,298
2015-12-01,298
2016-01-01,297
2016-02-01,297
2016-03-01,296
2016-04-01,296
2016-05-01,297
2016-06-01,297
2016-07-01,296
2016-08-01,296
2016-09-01,297
2016-10-01,296
2016-11-01,295
2016-12-01,293
2017-01-01,292
2017-02-01,291
2017-03-01,291
2017-04-01,290
2017-05-01,291
2017-06-01,291
2017-07-01,291
2017-08-01,290
2017-09-01,291
2017-10-01,292
2017-11-01,293
2017-12-01,295
2018-01-01,295
2018-02-01,295
2018-03-01,296
2018-04-01,297
2018-05-01,299
2018-06-01,300
2018-07-01,301
2018-08-01,300
2018-09-01,299
2018-10-01,299
2018-11-01,299
2018-12-01,300
2019-01-01,300
2019-02-01,300
2019-03-01,301
2019-04-01,301
2019-05-01,300
2019-06-01,300
2019-07-01,300
2019-08-01,300
2019-09-01,300
2019-10-01,300
2019-11-01,298
2019-12-01,299
2020-01-01,299
2020-02-01,297
2020-03-01,297
2020-04-01,296
2020-05-01,296
2020-06-01,295
2020-07-01,296
2020-08-01,295
2020-09-01,295
2020-10-01,295
2020-11-01,297
2020-12-01,298
2021-01-01,298
2021-02-01,299
2021-03-01,299
2021-04-01,299
2021-05-01,299
2021-06-01,299
2021-07-01,298
2021-08-01,298
2021-09-01,298
2021-10-01,298
2021-11-01,297
2021-12-01,296
2022-01-01,296
2022-02-01,295
2022-03-01,294
2022-04-01,292
2022-05-01,290
2022-06-01,289
2022-07-01,288
2022-08-01,287
2022-09-01,286
2022-10-01,285
2022-11-01,284
2022-12-01,283
2023-01-01,282
2023-02-01,282
2023-03-01,281
2023-04-01,280
2023-05-01,279
2023-06-01,278
2023-07-01,278
2023-08-01,277
2023-09-01,276
2023-10-01,275
2023-11-01,273
2023-12-01,272
