date,value
2004-01-01,110
2004-02-01,111
2004-03-01,111
2004-04-01,111
2004-05-01,111
2004-06-01,111
2004-07-01,111
2004-08-01,112
2004-09-01,113
2004-10-01,115
2004-11-01,116
2004-12-01,117
2005-01-01,117
2005-02-01,118
2005-03-01,118
2005-04-01,118
2005-05-01,118
2005-06-01,118
2005-07-01,119
2005-08-01,119
2005-09-01,119
2005-10-01,119
2005-11-01,119
2005-12-01,119
2006-01-01,118
2006-02-01,118
2006-03-01,117
2006-04-01,117
2006-05-01,117
2006-06-01,117
2006-07-01,117
2006-08-01,117
2006-09-01,117
2006-10-01,118
2006-11-01,118
2006-12-01,119
2007-01-01,119
2007-02-01,119
2007-03-01,120
2007-04-01,120
2007-05-01,120
2007-06-01,120
2007-07-01,120
2007-08-01,120
2007-09-01,121
2007-10-01,121
2007-11-01,121
2007-12-01,120
2008-01-01,120
2008-02-01,120
2008-03-01,119
2008-04-01,119
2008-05-01,119
2008-06-01,119
2008-07-01,119
2008-08-01,119
2008-09-01,119
2008-10-01,119
2008-11-01,119
2008-12-01,120
2009-01-01,120
2009-02-01,120
2009-03-01,120
2009-04-01,120
2009-05-01,120
2009-06-01,120
2009-07-01,119
2009-08-01,119
2009-09-01,119
2009-10-01,119
2009-11-01,119
2009-12-01,119
2010-01-01,120
2010-02-01,120
2010-03-01,120
2010-04-01,120
2010-05-01,119
2010-06-01,119
2010-07-01,119
2010-08-01,119
2010-09-01,119
2010-10-01,118
2010-11-01,118
2010-12-01,117
2011-01-01,117
2011-02-01,117
2011-03-01,117
2011-04-01,117
2011-05-01,117
2011-06-01,117
2011-07-01,117
2011-08-01,117
2011-09-01,117
2011-10-01,116
2011-11-01,116
2011-12-01,117
2012-01-01,117
2012-02-01,118
2012-03-01,118
2012-04-01,118
2012-05-01,117
2012-06-01,117
2012-07-01,117
2012-08-01,116
2012-09-01,115
2012-10-01,115
2012-11-01,114
2012-12-01,114
2013-01-01,113
2013-02-01,113
2013-03-01,112
2013-04-01,113
2013-05-01,112
2013-06-01,112
2013-07-01,112
2013-08-01,112
2013-09-01,111
2013-10-01,110
2013-11-01,110
2013-12-01,109
2014-01-01,109
2014-02-01,108
2014-03-01,108
2014-04-01,108
2014-05-01,108
2014-06-01,107
2014-07-01,107
2014-08-01,107
2014-09-01,107
2014-10-01,107
2014-11-01,107
2014-12-01,107
2015-01-01,107
2015-02-01,107
2015-03-01,106
2015-04-01,106
2015-05-01,106
2015-06-01,105
2015-07-01,105
2015-08-01,104
2015-09-01,104
2015-10-01,104
2015-11-01,105
2015-12-01,105
2016-01-01,104
2016-02-01,104
2016-03-01,104
2016-04-01,104
2016-05-01,104
2016-06-01,104
2016-07-01,104
2016-08-01,104
2016-09-01,104
2016-10-01,104
2016-11-01,104
2016-12-01,103
2017-01-01,103
2017-02-01,102
2017-03-01,102
2017-04-01,102
2017-05-01,102
2017-06-01,102
2017-07-01,102
2017-08-01,102
2017-09-01,102
2017-10-01,103
2017-11-01,103
2017-12-01,104
2018-01-01,104
2018-02-01,104
2018-03-01,104
2018-04-01,105
2018-05-01,105
2018-06-01,105
2018-07-01,106
2018-08-01,105
2018-09-01,105
2018-10-01,105
2018-11-01,105
2018-12-01,105
2019-01-01,106
2019-02-01,106
2019-03-01,106
2019-04-01,106
2019-05-01,105
2019-06-01,106
2019-07-01,105
2019-08-01,106
2019-09-01,105
2019-10-01,105
2019-11-01,105
2019-12-01,105
2020-01-01,105
2020-02-01,104
2020-03-01,104
2020-04-01,104
2020-05-01,104
2020-06-01,104
2020-07-01,104
2020-08-01,104
2020-09-01,104
2020-10-01,104
2020-11-01,104
2020-12-01,105
2021-01-01,105
2021-02-01,105
2021-03-01,105
2021-04-01,105
2021-05-01,105
2021-06-01,105
2021-07-01,105
2021-08-01,105
2021-09-01,105
2021-10-01,105
2021-11-01,105
2021-12-01,104
2022-01-01,104
2022-02-01,104
2022-03-01,103
2022-04-01,103
2022-05-01,102
2022-06-01,101
2022-07-01,101
2022-08-01,101
2022-09-01,101
2022-10-01,100
2022-11-01,100
2022-12-01,99
2023-01-01,99
2023-02-01,99
2023-03-01,99
2023-04-01,98
2023-05-01,98
2023-06-01,98
2023-07-01,98
2023-08-01,97
2023-09-01,97
2023-10-01,97
2023-11-01,96
2023-12-01,95
2024-01-01,95
2024-02-01,95
2024-03-01,94
2024-04-01,94
2024-05-01,94
2024-06-01,93
2024-07-01,92
2024-08-01,92
2024-09-01,91
2024-10-01,91
2024-11-01,91
2024-12-01,91
