date,value
2004-01-01,328
2004-02-01,329
2004-03-01,330
2004-04-01,330
2004-05-01,330
2004-06-01,328
2004-07-01,329
2004-08-01,333
2004-09-01,336
2004-10-01,341
2004-11-01,343
2004-12-01,348
2005-01-01,348
2005-02-01,349
2005-03-01,350
2005-04-01,350
2005-05-01,351
2005-06-01,351
2005-07-01,354
2005-08-01,354
2005-09-01,355
2005-10-01,355
2005-11-01,355
2005-12-01,354
2006-01-01,350
2006-02-01,350
2006-03-01,349
2006-04-01,348
2006-05-01,348
2006-06-01,347
2006-07-01,347
2006-08-01,348
2006-09-01,347
2006-10-01,350
2006-11-01,351
2006-12-01,353
2007-01-01,354
2007-02-01,355
2007-03-01,355
2007-04-01,355
2007-05-01,357
2007-06-01,357
2007-07-01,357
2007-08-01,357
2007-09-01,358
2007-10-01,359
2007-11-01,360
2007-12-01,357
2008-01-01,357
2008-02-01,355
2008-03-01,354
2008-04-01,354
2008-05-01,353
2008-06-01,354
2008-07-01,353
2008-08-01,354
2008-09-01,355
2008-10-01,354
2008-11-01,355
2008-12-01,356
2009-01-01,357
2009-02-01,357
2009-03-01,358
2009-04-01,356
2009-05-01,357
2009-06-01,355
2009-07-01,354
2009-08-01,354
2009-09-01,354
2009-10-01,355
2009-11-01,354
2009-12-01,354
2010-01-01,355
2010-02-01,355
2010-03-01,356
2010-04-01,356
2010-05-01,354
2010-06-01,354
2010-07-01,354
2010-08-01,353
2010-09-01,353
2010-10-01,351
2010-11-01,350
2010-12-01,348
2011-01-01,348
2011-02-01,347
2011-03-01,348
2011-04-01,347
2011-05-01,347
2011-06-01,347
2011-07-01,348
2011-08-01,348
2011-09-01,346
2011-10-01,345
2011-11-01,343
2011-12-01,347
2012-01-01,347
2012-02-01,350
2012-03-01,350
2012-04-01,349
2012-05-01,348
2012-06-01,347
2012-07-01,346
2012-08-01,344
2012-09-01,342
2012-10-01,341
2012-11-01,339
2012-12-01,338
2013-01-01,337
2013-02-01,335
2013-03-01,333
2013-04-01,334
2013-05-01,333
2013-06-01,333
2013-07-01,332
2013-08-01,332
2013-09-01,329
2013-10-01,327
2013-11-01,326
2013-12-01,325
2014-01-01,323
2014-02-01,322
2014-03-01,321
2014-04-01,320
2014-05-01,320
2014-06-01,318
2014-07-01,317
2014-08-01,318
2014-09-01,317
2014-10-01,317
2014-11-01,317
2014-12-01,317
2015-01-01,316
2015-02-01,317
2015-03-01,316
2015-04-01,316
2015-05-01,314
2015-06-01,313
2015-07-01,311
2015-08-01,310
2015-09-01,310
2015-10-01,310
2015-11-01,311
2015-12-01,310
2016-01-01,310
2016-02-01,310
2016-03-01,309
2016-04-01,309
2016-05-01,309
2016-06-01,309
2016-07-01,309
2016-08-01,309
2016-09-01,310
2016-10-01,309
2016-11-01,308
2016-12-01,306
2017-01-01,305
2017-02-01,304
2017-03-01,304
2017-04-01,303
2017-05-01,304
2017-06-01,303
2017-07-01,303
2017-08-01,303
2017-09-01,304
2017-10-01,305
2017-11-01,306
2017-12-01,307
2018-01-01,308
2018-02-01,308
2018-03-01,309
2018-04-01,310
2018-05-01,312
2018-06-01,313
2018-07-01,313
2018-08-01,313
2018-09-01,312
2018-10-01,312
2018-11-01,312
2018-12-01,313
2019-01-01,313
2019-02-01,313
2019-03-01,314
2019-04-01,314
2019-05-01,313
2019-06-01,313
2019-07-01,313
2019-08-01,313
2019-09-01,313
2019-10-01,312
2019-11-01,311
2019-12-01,312
2020-01-01,311
2020-02-01,310
2020-03-01,310
2020-04-01,309
2020-05-01,308
2020-06-01,308
2020-07-01,308
2020-08-01,308
2020-09-01,308
2020-10-01,308
2020-11-01,309
2020-12-01,310
2021-01-01,311
2021-02-01,312
2021-03-01,312
2021-04-01,312
2021-05-01,312
2021-06-01,312
2021-07-01,311
2021-08-01,311
2021-09-01,311
2021-10-01,311
2021-11-01,310
2021-12-01,309
2022-01-01,309
2022-02-01,308
2022-03-01,306
2022-04-01,305
2022-05-01,303
2022-06-01,301
2022-07-01,301
2022-08-01,300
2022-09-01,299
2022-10-01,297
2022-11-01,296
2022-12-01,295
2023-01-01,295
2023-02-01,294
2023-03-01,293
2023-04-01,292
2023-05-01,291
2023-06-01,290
2023-07-01,290
2023-08-01,289
2023-09-01,288
2023-10-01,287
2023-11-01,285
2023-12-01,283
