date,value
2004-01-01,510
2004-02-01,512
2004-03-01,513
2004-04-01,513
2004-05-01,513
2004-06-01,510
2004-07-01,511
2004-08-01,518
2004-09-01,523
2004-10-01,529
2004-11-01,533
2004-12-01,541
2005-01-01,540
2005-02-01,543
2005-03-01,544
2005-04-01,544
2005-05-01,545
2005-06-01,546
2005-07-01,550
2005-08-01,550
2005-09-01,551
2005-10-01,551
2005-11-01,551
2005-12-01,550
2006-01-01,544
2006-02-01,543
2006-03-01,542
2006-04-01,540
2006-05-01,541
2006-06-01,540
2006-07-01,539
2006-08-01,540
2006-09-01,539
2006-10-01,544
2006-11-01,546
2006-12-01,548
2007-01-01,550
2007-02-01,551
2007-03-01,552
2007-04-01,552
2007-05-01,555
2007-06-01,555
2007-07-01,556
2007-08-01,555
2007-09-01,556
2007-10-01,559
2007-11-01,560
2007-12-01,554
2008-01-01,555
2008-02-01,552
2008-03-01,550
2008-04-01,549
2008-05-01,548
2008-06-01,549
2008-07-01,548
2008-08-01,550
2008-09-01,551
2008-10-01,550
2008-11-01,551
2008-12-01,553
2009-01-01,554
2009-02-01,555
2009-03-01,556
2009-04-01,553
2009-05-01,554
2009-06-01,552
2009-07-01,550
2009-08-01,550
2009-09-01,550
2009-10-01,551
2009-11-01,550
2009-12-01,550
2010-01-01,552
2010-02-01,552
2010-03-01,554
2010-04-01,553
2010-05-01,551
2010-06-01,550
2010-07-01,551
2010-08-01,548
2010-09-01,548
2010-10-01,546
2010-11-01,543
2010-12-01,541
2011-01-01,540
2011-02-01,540
2011-03-01,540
2011-04-01,539
2011-05-01,540
2011-06-01,540
2011-07-01,541
2011-08-01,540
2011-09-01,538
2011-10-01,535
2011-11-01,533
2011-12-01,540
2012-01-01,540
2012-02-01,543
2012-03-01,544
2012-04-01,543
2012-05-01,541
2012-06-01,539
2012-07-01,538
2012-08-01,535
2012-09-01,532
2012-10-01,531
2012-11-01,527
2012-12-01,525
2013-01-01,523
2013-02-01,521
2013-03-01,518
2013-04-01,519
2013-05-01,517
2013-06-01,517
2013-07-01,516
2013-08-01,515
2013-09-01,512
2013-10-01,508
2013-11-01,506
2013-12-01,504
2014-01-01,502
2014-02-01,501
2014-03-01,499
2014-04-01,498
2014-05-01,497
2014-06-01,494
2014-07-01,493
2014-08-01,494
2014-09-01,493
2014-10-01,492
2014-11-01,493
2014-12-01,492
2015-01-01,492
2015-02-01,492
2015-03-01,491
2015-04-01,490
2015-05-01,488
2015-06-01,486
2015-07-01,484
2015-08-01,482
2015-09-01,482
2015-10-01,481
2015-11-01,483
2015-12-01,482
2016-01-01,481
2016-02-01,481
2016-03-01,480
2016-04-01,480
2016-05-01,481
2016-06-01,481
2016-07-01,480
2016-08-01,480
2016-09-01,481
2016-10-01,480
2016-11-01,479
2016-12-01,476
2017-01-01,473
2017-02-01,472
2017-03-01,472
2017-04-01,470
2017-05-01,472
2017-06-01,471
2017-07-01,472
2017-08-01,471
2017-09-01,472
2017-10-01,474
2017-11-01,476
2017-12-01,478
2018-01-01,478
2018-02-01,478
2018-03-01,481
2018-04-01,482
2018-05-01,485
2018-06-01,487
2018-07-01,487
2018-08-01,487
2018-09-01,485
2018-10-01,485
2018-11-01,484
2018-12-01,487
2019-01-01,487
2019-02-01,487
2019-03-01,488
2019-04-01,487
2019-05-01,487
2019-06-01,487
2019-07-01,486
2019-08-01,487
2019-09-01,486
2019-10-01,486
2019-11-01,484
2019-12-01,485
2020-01-01,484
2020-02-01,482
2020-03-01,482
2020-04-01,480
2020-05-01,479
2020-06-01,479
2020-07-01,479
2020-08-01,478
2020-09-01,479
2020-10-01,479
2020-11-01,481
2020-12-01,483
2021-01-01,483
2021-02-01,484
2021-03-01,484
2021-04-01,485
2021-05-01,484
2021-06-01,485
2021-07-01,484
2021-08-01,483
2021-09-01,484
2021-10-01,483
2021-11-01,482
2021-12-01,481
2022-01-01,480
2022-02-01,479
2022-03-01,476
2022-04-01,474
2022-05-01,470
2022-06-01,468
2022-07-01,467
2022-08-01,466
2022-09-01,464
2022-10-01,461
2022-11-01,460
2022-12-01,459
2023-01-01,458
2023-02-01,458
2023-03-01,455
2023-04-01,454
2023-05-01,453
2023-06-01,451
2023-07-01,450
2023-08-01,449
2023-09-01,447
2023-10-01,446
2023-11-01,443
2023-12-01,440
2024-01-01,438
2024-02-01,437
2024-03-01,435
2024-04-01,433
2024-05-01,432
2024-06-01,430
2024-07-01,427
2024-08-01,425
2024-09-01,421
2024-10-01,420
2024-11-01,419
2024-12-01,418
