date,value
2004-01-01,185
2004-02-01,186
2004-03-01,186
2004-04-01,187
2004-05-01,187
2004-06-01,185
2004-07-01,186
2004-08-01,188
2004-09-01,190
2004-10-01,192
2004-11-01,194
2004-12-01,197
2005-01-01,196
2005-02-01,197
2005-03-01,198
2005-04-01,198
2005-05-01,198
2005-06-01,198
2005-07-01,200
2005-08-01,200
2005-09-01,200
2005-10-01,200
2005-11-01,200
2005-12-01,200
2006-01-01,198
2006-02-01,198
2006-03-01,197
2006-04-01,196
2006-05-01,197
2006-06-01,196
2006-07-01,196
2006-08-01,196
2006-09-01,196
2006-10-01,198
2006-11-01,198
2006-12-01,199
2007-01-01,200
2007-02-01,200
2007-03-01,201
2007-04-01,201
2007-05-01,202
2007-06-01,202
2007-07-01,202
2007-08-01,202
2007-09-01,202
2007-10-01,203
2007-11-01,204
2007-12-01,202
2008-01-01,202
2008-02-01,201
2008-03-01,200
2008-04-01,200
2008-05-01,199
2008-06-01,200
2008-07-01,199
2008-08-01,200
2008-09-01,200
2008-10-01,200
2008-11-01,200
2008-12-01,201
2009-01-01,201
2009-02-01,202
2009-03-01,202
2009-04-01,201
2009-05-01,201
2009-06-01,201
2009-07-01,200
2009-08-01,200
2009-09-01,200
2009-10-01,200
2009-11-01,200
2009-12-01,200
2010-01-01,201
2010-02-01,201
2010-03-01,201
2010-04-01,201
2010-05-01,200
2010-06-01,200
2010-07-01,200
2010-08-01,199
2010-09-01,199
2010-10-01,199
2010-11-01,198
2010-12-01,197
2011-01-01,196
2011-02-01,196
2011-03-01,197
2011-04-01,196
2011-05-01,196
2011-06-01,196
2011-07-01,197
2011-08-01,197
2011-09-01,196
2011-10-01,195
2011-11-01,194
2011-12-01,196
2012-01-01,196
2012-02-01,198
2012-03-01,198
2012-04-01,197
2012-05-01,197
2012-06-01,196
2012-07-01,196
2012-08-01,195
2012-09-01,193
2012-10-01,193
2012-11-01,192
2012-12-01,191
2013-01-01,190
2013-02-01,189
2013-03-01,188
2013-04-01,189
2013-05-01,188
2013-06-01,188
2013-07-01,188
2013-08-01,187
2013-09-01,186
2013-10-01,185
2013-11-01,184
2013-12-01,183
2014-01-01,183
2014-02-01,182
2014-03-01,181
2014-04-01,181
2014-05-01,181
2014-06-01,180
2014-07-01,179
2014-08-01,179
2014-09-01,179
2014-10-01,179
2014-11-01,179
2014-12-01,179
2015-01-01,179
2015-02-01,179
2015-03-01,179
2015-04-01,178
2015-05-01,177
2015-06-01,177
2015-07-01,176
2015-08-01,175
2015-09-01,175
2015-10-01,175
2015-11-01,176
2015-12-01,175
2016-01-01,175
2016-02-01,175
2016-03-01,175
2016-04-01,174
2016-05-01,175
2016-06-01,175
2016-07-01,174
2016-08-01,174
2016-09-01,175
2016-10-01,175
2016-11-01,174
2016-12-01,173
2017-01-01,172
2017-02-01,172
2017-03-01,172
2017-04-01,171
2017-05-01,172
2017-06-01,171
2017-07-01,171
2017-08-01,171
2017-09-01,172
2017-10-01,172
2017-11-01,173
2017-12-01,174
2018-01-01,174
2018-02-01,174
2018-03-01,175
2018-04-01,175
2018-05-01,176
2018-06-01,177
2018-07-01,177
2018-08-01,177
2018-09-01,176
2018-10-01,176
2018-11-01,176
2018-12-01,177
2019-01-01,177
2019-02-01,177
2019-03-01,177
2019-04-01,177
2019-05-01,177
2019-06-01,177
2019-07-01,177
2019-08-01,177
2019-09-01,177
2019-10-01,177
2019-11-01,176
2019-12-01,176
2020-01-01,176
2020-02-01,175
2020-03-01,175
2020-04-01,175
2020-05-01,174
2020-06-01,174
2020-07-01,174
2020-08-01,174
2020-09-01,174
2020-10-01,174
2020-11-01,175
2020-12-01,175
2021-01-01,176
2021-02-01,176
2021-03-01,176
2021-04-01,176
2021-05-01,176
2021-06-01,176
2021-07-01,176
2021-08-01,176
2021-09-01,176
2021-10-01,176
2021-11-01,175
2021-12-01,175
2022-01-01,174
2022-02-01,174
2022-03-01,173
2022-04-01,172
2022-05-01,171
2022-06-01,170
2022-07-01,170
2022-08-01,169
2022-09-01,169
2022-10-01,168
2022-11-01,167
2022-12-01,167
2023-01-01,166
2023-02-01,166
2023-03-01,165
2023-04-01,165
2023-05-01,165
2023-06-01,164
2023-07-01,164
2023-08-01,163
2023-09-01,163
2023-10-01,162
2023-11-01,161
2023-12-01,160
