date,value
2004-01-01,424
2004-02-01,426
2004-03-01,427
2004-04-01,427
2004-05-01,427
2004-06-01,424
2004-07-01,425
2004-08-01,431
2004-09-01,435
2004-10-01,440
2004-11-01,444
2004-12-01,450
2005-01-01,450
2005-02-01,452
2005-03-01,452
2005-04-01,453
2005-05-01,453
2005-06-01,454
2005-07-01,458
2005-08-01,458
2005-09-01,458
2005-10-01,458
2005-11-01,458
2005-12-01,457
2006-01-01,453
2006-02-01,452
2006-03-01,451
2006-04-01,449
2006-05-01,450
2006-06-01,449
2006-07-01,449
2006-08-01,449
2006-09-01,449
2006-10-01,452
2006-11-01,454
2006-12-01,456
2007-01-01,458
2007-02-01,459
2007-03-01,459
2007-04-01,460
2007-05-01,462
2007-06-01,462
2007-07-01,462
2007-08-01,462
2007-09-01,463
2007-10-01,465
2007-11-01,466
2007-12-01,461
2008-01-01,462
2008-02-01,460
2008-03-01,458
2008-04-01,457
2008-05-01,456
2008-06-01,457
2008-07-01,456
2008-08-01,458
2008-09-01,459
2008-10-01,458
2008-11-01,459
2008-12-01,460
2009-01-01,461
2009-02-01,462
2009-03-01,462
2009-04-01,460
2009-05-01,461
2009-06-01,459
2009-07-01,457
2009-08-01,458
2009-09-01,457
2009-10-01,459
2009-11-01,458
2009-12-01,458
2010-01-01,460
2010-02-01,460
2010-03-01,461
2010-04-01,460
2010-05-01,458
2010-06-01,458
2010-07-01,458
2010-08-01,456
2010-09-01,456
2010-10-01,454
2010-11-01,452
2010-12-01,450
2011-01-01,449
2011-02-01,449
2011-03-01,450
2011-04-01,449
2011-05-01,449
2011-06-01,449
2011-07-01,450
2011-08-01,450
2011-09-01,448
2011-10-01,446
2011-11-01,444
2011-12-01,449
2012-01-01,449
2012-02-01,452
2012-03-01,452
2012-04-01,451
2012-05-01,450
2012-06-01,448
2012-07-01,448
2012-08-01,445
2012-09-01,442
2012-10-01,442
2012-11-01,439
2012-12-01,437
2013-01-01,435
2013-02-01,434
2013-03-01,431
2013-04-01,432
2013-05-01,430
2013-06-01,430
2013-07-01,429
2013-08-01,429
2013-09-01,426
2013-10-01,422
2013-11-01,421
2013-12-01,420
2014-01-01,418
2014-02-01,417
2014-03-01,415
2014-04-01,414
2014-05-01,413
2014-06-01,411
2014-07-01,410
2014-08-01,411
2014-09-01,410
2014-10-01,409
2014-11-01,410
2014-12-01,409
2015-01-01,409
2015-02-01,409
2015-03-01,409
2015-04-01,408
2015-05-01,406
2015-06-01,404
2015-07-01,403
2015-08-01,401
2015-09-01,401
2015-10-01,400
2015-11-01,402
2015-12-01,401
2016-01-01,400
2016-02-01,400
2016-03-01,399
2016-04-01,399
2016-05-01,400
2016-06-01,400
2016-07-01,399
2016-08-01,399
2016-09-01,400
2016-10-01,400
2016-11-01,398
2016-12-01,396
2017-01-01,394
2017-02-01,393
2017-03-01,393
2017-04-01,391
2017-05-01,393
2017-06-01,392
2017-07-01,392
2017-08-01,392
2017-09-01,392
2017-10-01,394
2017-11-01,396
2017-12-01,398
2018-01-01,398
2018-02-01,398
2018-03-01,400
2018-04-01,401
2018-05-01,404
2018-06-01,405
2018-07-01,405
2018-08-01,405
2018-09-01,403
2018-10-01,403
2018-11-01,403
2018-12-01,405
2019-01-01,405
2019-02-01,405
2019-03-01,406
2019-04-01,405
2019-05-01,405
2019-06-01,405
2019-07-01,404
2019-08-01,405
2019-09-01,404
2019-10-01,404
2019-11-01,402
2019-12-01,403
2020-01-01,403
2020-02-01,401
2020-03-01,401
2020-04-01,400
2020-05-01,399
2020-06-01,398
2020-07-01,399
2020-08-01,398
2020-09-01,398
2020-10-01,398
2020-11-01,400
2020-12-01,402
2021-01-01,402
2021-02-01,403
2021-03-01,403
2021-04-01,403
2021-05-01,403
2021-06-01,403
2021-07-01,402
2021-08-01,402
2021-09-01,403
2021-10-01,402
2021-11-01,401
2021-12-01,400
2022-01-01,399
2022-02-01,399
2022-03-01,396
2022-04-01,394
2022-05-01,391
2022-06-01,390
2022-07-01,389
2022-08-01,388
2022-09-01,386
2022-10-01,384
2022-11-01,383
2022-12-01,382
2023-01-01,381
2023-02-01,381
2023-03-01,379
2023-04-01,378
2023-05-01,377
2023-06-01,375
2023-07-01,375
2023-08-01,373
2023-09-01,372
2023-10-01,371
2023-11-01,368
2023-12-01,366
