date,value
2004-01-01,231
2004-02-01,232
2004-03-01,232
2004-04-01,233
2004-05-01,233
2004-06-01,231
2004-07-01,232
2004-08-01,235
2004-09-01,237
2004-10-01,240
2004-11-01,242
2004-12-01,245
2005-01-01,245
2005-02-01,246
2005-03-01,246
2005-04-01,247
2005-05-01,247
2005-06-01,247
2005-07-01,249
2005-08-01,250
2005-09-01,250
2005-10-01,250
2005-11-01,250
2005-12-01,249
2006-01-01,247
2006-02-01,246
2006-03-01,246
2006-04-01,245
2006-05-01,245
2006-06-01,245
2006-07-01,244
2006-08-01,245
2006-09-01,244
2006-10-01,247
2006-11-01,247
2006-12-01,249
2007-01-01,249
2007-02-01,250
2007-03-01,250
2007-04-01,250
2007-05-01,252
2007-06-01,252
2007-07-01,252
2007-08-01,252
2007-09-01,252
2007-10-01,253
2007-11-01,254
2007-12-01,251
2008-01-01,252
2008-02-01,250
2008-03-01,249
2008-04-01,249
2008-05-01,249
2008-06-01,249
2008-07-01,249
2008-08-01,249
2008-09-01,250
2008-10-01,249
2008-11-01,250
2008-12-01,251
2009-01-01,251
2009-02-01,252
2009-03-01,252
2009-04-01,251
2009-05-01,251
2009-06-01,250
2009-07-01,249
2009-08-01,249
2009-09-01,249
2009-10-01,250
2009-11-01,249
2009-12-01,249
2010-01-01,250
2010-02-01,250
2010-03-01,251
2010-04-01,251
2010-05-01,250
2010-06-01,250
2010-07-01,250
2010-08-01,249
2010-09-01,249
2010-10-01,248
2010-11-01,246
2010-12-01,245
2011-01-01,245
2011-02-01,245
2011-03-01,245
2011-04-01,244
2011-05-01,245
2011-06-01,245
2011-07-01,245
2011-08-01,245
2011-09-01,244
2011-10-01,243
2011-11-01,242
2011-12-01,245
2012-01-01,245
2012-02-01,246
2012-03-01,247
2012-04-01,246
2012-05-01,245
2012-06-01,244
2012-07-01,244
2012-08-01,243
2012-09-01,241
2012-10-01,241
2012-11-01,239
2012-12-01,238
2013-01-01,237
2013-02-01,236
2013-03-01,235
2013-04-01,235
2013-05-01,234
2013-06-01,234
2013-07-01,234
2013-08-01,234
2013-09-01,232
2013-10-01,230
2013-11-01,229
2013-12-01,229
2014-01-01,228
2014-02-01,227
2014-03-01,226
2014-04-01,226
2014-05-01,225
2014-06-01,224
2014-07-01,223
2014-08-01,224
2014-09-01,223
2014-10-01,223
2014-11-01,224
2014-12-01,223
2015-01-01,223
2015-02-01,223
2015-03-01,223
2015-04-01,222
2015-05-01,221
2015-06-01,220
2015-07-01,219
2015-08-01,218
2015-09-01,218
2015-10-01,218
2015-11-01,219
2015-12-01,219
2016-01-01,218
2016-02-01,218
2016-03-01,218
2016-04-01,218
2016-05-01,218
2016-06-01,218
2016-07-01,217
2016-08-01,218
2016-09-01,218
2016-10-01,218
2016-11-01,217
2016-12-01,216
2017-01-01,215
2017-02-01,214
2017-03-01,214
2017-04-01,213
2017-05-01,214
2017-06-01,214
2017-07-01,214
2017-08-01,213
2017-09-01,214
2017-10-01,215
2017-11-01,216
2017-12-01,217
2018-01-01,217
2018-02-01,217
2018-03-01,218
2018-04-01,219
2018-05-01,220
2018-06-01,221
2018-07-01,221
2018-08-01,221
2018-09-01,220
2018-10-01,220
2018-11-01,220
2018-12-01,221
2019-01-01,221
2019-02-01,221
2019-03-01,221
2019-04-01,221
2019-05-01,221
2019-06-01,221
2019-07-01,220
2019-08-01,221
2019-09-01,220
2019-10-01,220
2019-11-01,219
2019-12-01,220
2020-01-01,219
2020-02-01,218
2020-03-01,218
2020-04-01,218
2020-05-01,217
2020-06-01,217
2020-07-01,217
2020-08-01,217
2020-09-01,217
2020-10-01,217
2020-11-01,218
2020-12-01,219
2021-01-01,219
2021-02-01,220
2021-03-01,220
2021-04-01,220
2021-05-01,220
2021-06-01,220
2021-07-01,219
2021-08-01,219
2021-09-01,219
2021-10-01,219
2021-11-01,219
2021-12-01,218
2022-01-01,218
2022-02-01,217
2022-03-01,216
2022-04-01,215
2022-05-01,213
2022-06-01,212
2022-07-01,212
2022-08-01,211
2022-09-01,211
2022-10-01,209
2022-11-01,209
2022-12-01,208
2023-01-01,208
2023-02-01,207
2023-03-01,206
2023-04-01,206
2023-05-01,205
2023-06-01,204
2023-07-01,204
2023-08-01,203
2023-09-01,203
2023-10-01,202
2023-11-01,201
2023-12-01,200
2024-01-01,199
2024-02-01,198
2024-03-01,197
2024-04-01,197
2024-05-01,196
2024-06-01,195
2024-07-01,193
2024-08-01,193
2024-09-01,191
2024-10-01,191
2024-11-01,190
2024-12-01,189
