date,value
2004-01-01,683
2004-02-01,686
2004-03-01,688
2004-04-01,689
2004-05-01,688
2004-06-01,684
2004-07-01,685
2004-08-01,694
2004-09-01,701
2004-10-01,710
2004-11-01,715
2004-12-01,725
2005-01-01,725
2005-02-01,728
2005-03-01,729
2005-04-01,730
2005-05-01,731
2005-06-01,732
2005-07-01,737
2005-08-01,738
2005-09-01,739
2005-10-01,739
2005-11-01,739
2005-12-01,737
2006-01-01,730
2006-02-01,728
2006-03-01,727
2006-04-01,724
2006-05-01,725
2006-06-01,724
2006-07-01,723
2006-08-01,724
2006-09-01,723
2006-10-01,729
2006-11-01,732
2006-12-01,735
2007-01-01,737
2007-02-01,739
2007-03-01,740
2007-04-01,741
2007-05-01,745
2007-06-01,745
2007-07-01,745
2007-08-01,745
2007-09-01,746
2007-10-01,749
2007-11-01,751
2007-12-01,743
2008-01-01,745
2008-02-01,741
2008-03-01,738
2008-04-01,737
2008-05-01,735
2008-06-01,737
2008-07-01,735
2008-08-01,738
2008-09-01,739
2008-10-01,738
2008-11-01,739
2008-12-01,742
2009-01-01,743
2009-02-01,744
2009-03-01,745
2009-04-01,742
2009-05-01,743
2009-06-01,740
2009-07-01,737
2009-08-01,738
2009-09-01,737
2009-10-01,739
2009-11-01,738
2009-12-01,738
2010-01-01,741
2010-02-01,741
2010-03-01,742
2010-04-01,742
2010-05-01,738
2010-06-01,738
2010-07-01,738
2010-08-01,735
2010-09-01,735
2010-10-01,732
2010-11-01,729
2010-12-01,726
2011-01-01,724
2011-02-01,724
2011-03-01,725
2011-04-01,723
2011-05-01,724
2011-06-01,723
2011-07-01,725
2011-08-01,725
2011-09-01,721
2011-10-01,718
2011-11-01,715
2011-12-01,724
2012-01-01,723
2012-02-01,729
2012-03-01,729
2012-04-01,728
2012-05-01,726
2012-06-01,722
2012-07-01,722
2012-08-01,718
2012-09-01,713
2012-10-01,712
2012-11-01,707
2012-12-01,704
2013-01-01,701
2013-02-01,699
2013-03-01,694
2013-04-01,696
2013-05-01,693
2013-06-01,694
2013-07-01,692
2013-08-01,691
2013-09-01,686
2013-10-01,681
2013-11-01,678
2013-12-01,676
2014-01-01,674
2014-02-01,671
2014-03-01,669
2014-04-01,667
2014-05-01,666
2014-06-01,663
2014-07-01,661
2014-08-01,662
2014-09-01,661
2014-10-01,660
2014-11-01,661
2014-12-01,660
2015-01-01,659
2015-02-01,660
2015-03-01,658
2015-04-01,658
2015-05-01,654
2015-06-01,652
2015-07-01,649
2015-08-01,646
2015-09-01,646
2015-10-01,645
2015-11-01,648
2015-12-01,647
2016-01-01,645
2016-02-01,645
2016-03-01,644
2016-04-01,643
2016-05-01,645
2016-06-01,645
2016-07-01,643
2016-08-01,643
2016-09-01,645
2016-10-01,644
2016-11-01,642
2016-12-01,638
2017-01-01,635
2017-02-01,634
2017-03-01,633
2017-04-01,631
2017-05-01,633
2017-06-01,632
2017-07-01,632
2017-08-01,631
2017-09-01,633
2017-10-01,635
2017-11-01,638
2017-12-01,641
2018-01-01,641
2018-02-01,641
2018-03-01,644
2018-04-01,647
2018-05-01,651
2018-06-01,653
2018-07-01,653
2018-08-01,652
2018-09-01,650
2018-10-01,650
2018-11-01,649
2018-12-01,652
2019-01-01,653
2019-02-01,653
2019-03-01,654
2019-04-01,653
2019-05-01,652
2019-06-01,653
2019-07-01,652
2019-08-01,653
2019-09-01,651
2019-10-01,651
2019-11-01,649
2019-12-01,650
2020-01-01,649
2020-02-01,646
2020-03-01,646
2020-04-01,644
2020-05-01,642
2020-06-01,642
2020-07-01,643
2020-08-01,641
2020-09-01,642
2020-10-01,642
2020-11-01,645
2020-12-01,647
2021-01-01,648
2021-02-01,649
2021-03-01,649
2021-04-01,650
2021-05-01,650
2021-06-01,650
2021-07-01,649
2021-08-01,648
2021-09-01,649
2021-10-01,648
2021-11-01,647
2021-12-01,645
2022-01-01,643
2022-02-01,642
2022-03-01,638
2022-04-01,636
2022-05-01,631
2022-06-01,628
2022-07-01,627
2022-08-01,625
2022-09-01,623
2022-10-01,619
2022-11-01,617
2022-12-01,616
2023-01-01,614
2023-02-01,614
2023-03-01,610
2023-04-01,608
2023-05-01,607
2023-06-01,604
2023-07-01,604
2023-08-01,602
2023-09-01,599
2023-10-01,598
2023-11-01,594
2023-12-01,591
2024-01-01,588
2024-02-01,586
2024-03-01,583
2024-04-01,581
2024-05-01,579
2024-06-01,577
2024-07-01,572
2024-08-01,570
2024-09-01,565
2024-10-01,564
2024-11-01,561
2024-12-01,560
