date,value
2004-01-01,423
2004-02-01,425
2004-03-01,425
2004-04-01,426
2004-05-01,426
2004-06-01,423
2004-07-01,424
2004-08-01,429
2004-09-01,434
2004-10-01,439
2004-11-01,443
2004-12-01,449
2005-01-01,448
2005-02-01,450
2005-03-01,451
2005-04-01,452
2005-05-01,452
2005-06-01,453
2005-07-01,456
2005-08-01,457
2005-09-01,457
2005-10-01,457
2005-11-01,457
2005-12-01,456
2006-01-01,452
2006-02-01,451
2006-03-01,450
2006-04-01,448
2006-05-01,449
2006-06-01,448
2006-07-01,447
2006-08-01,448
2006-09-01,447
2006-10-01,451
2006-11-01,453
2006-12-01,455
2007-01-01,456
2007-02-01,457
2007-03-01,458
2007-04-01,458
2007-05-01,461
2007-06-01,461
2007-07-01,461
2007-08-01,461
2007-09-01,462
2007-10-01,463
2007-11-01,465
2007-12-01,460
2008-01-01,461
2008-02-01,458
2008-03-01,456
2008-04-01,456
2008-05-01,455
2008-06-01,456
2008-07-01,455
2008-08-01,456
2008-09-01,457
2008-10-01,456
2008-11-01,457
2008-12-01,459
2009-01-01,460
2009-02-01,460
2009-03-01,461
2009-04-01,459
2009-05-01,460
2009-06-01,458
2009-07-01,456
2009-08-01,457
2009-09-01,456
2009-10-01,457
2009-11-01,456
2009-12-01,456
2010-01-01,458
2010-02-01,458
2010-03-01,459
2010-04-01,459
2010-05-01,457
2010-06-01,457
2010-07-01,457
2010-08-01,455
2010-09-01,455
2010-10-01,453
2010-11-01,451
2010-12-01,449
2011-01-01,448
2011-02-01,448
2011-03-01,448
2011-04-01,447
2011-05-01,448
2011-06-01,448
2011-07-01,449
2011-08-01,448
2011-09-01,446
2011-10-01,444
2011-11-01,443
2011-12-01,448
2012-01-01,448
2012-02-01,451
2012-03-01,451
2012-04-01,450
2012-05-01,449
2012-06-01,447
2012-07-01,446
2012-08-01,444
2012-09-01,441
2012-10-01,440
2012-11-01,438
2012-12-01,436
2013-01-01,434
2013-02-01,432
2013-03-01,430
2013-04-01,431
2013-05-01,429
2013-06-01,429
2013-07-01,428
2013-08-01,428
2013-09-01,425
2013-10-01,421
2013-11-01,420
2013-12-01,419
2014-01-01,417
2014-02-01,415
2014-03-01,414
2014-04-01,413
2014-05-01,412
2014-06-01,410
2014-07-01,409
2014-08-01,409
2014-09-01,409
2014-10-01,408
2014-11-01,409
2014-12-01,408
2015-01-01,408
2015-02-01,408
2015-03-01,407
2015-04-01,407
2015-05-01,405
2015-06-01,403
2015-07-01,402
2015-08-01,400
2015-09-01,400
2015-10-01,399
2015-11-01,401
2015-12-01,400
2016-01-01,399
2016-02-01,399
2016-03-01,398
2016-04-01,398
2016-05-01,399
2016-06-01,399
2016-07-01,398
2016-08-01,398
2016-09-01,399
2016-10-01,398
2016-11-01,397
2016-12-01,395
2017-01-01,393
2017-02-01,392
2017-03-01,392
2017-04-01,390
2017-05-01,392
2017-06-01,391
2017-07-01,391
2017-08-01,390
2017-09-01,391
2017-10-01,393
2017-11-01,395
2017-12-01,396
2018-01-01,397
2018-02-01,397
2018-03-01,399
2018-04-01,400
2018-05-01,403
2018-06-01,404
2018-07-01,404
2018-08-01,404
2018-09-01,402
2018-10-01,402
2018-11-01,402
2018-12-01,404
2019-01-01,404
2019-02-01,404
2019-03-01,405
2019-04-01,404
2019-05-01,404
2019-06-01,404
2019-07-01,403
2019-08-01,404
2019-09-01,403
2019-10-01,403
2019-11-01,401
2019-12-01,402
2020-01-01,402
2020-02-01,400
2020-03-01,400
2020-04-01,398
2020-05-01,398
2020-06-01,397
2020-07-01,398
2020-08-01,397
2020-09-01,397
2020-10-01,397
2020-11-01,399
2020-12-01,400
2021-01-01,401
2021-02-01,402
2021-03-01,402
2021-04-01,402
2021-05-01,402
2021-06-01,402
2021-07-01,401
2021-08-01,401
2021-09-01,401
2021-10-01,401
2021-11-01,400
2021-12-01,399
2022-01-01,398
2022-02-01,397
2022-03-01,395
2022-04-01,393
2022-05-01,390
2022-06-01,388
2022-07-01,388
2022-08-01,387
2022-09-01,385
2022-10-01,383
2022-11-01,382
2022-12-01,381
2023-01-01,380
2023-02-01,380
2023-03-01,378
2023-04-01,376
2023-05-01,376
2023-06-01,374
2023-07-01,374
2023-08-01,372
2023-09-01,371
2023-10-01,370
2023-11-01,367
2023-12-01,365
