date,value
2004-01-01,292
2004-02-01,293
2004-03-01,294
2004-04-01,294
2004-05-01,294
2004-06-01,292
2004-07-01,293
2004-08-01,297
2004-09-01,299
2004-10-01,303
2004-11-01,306
2004-12-01,310
2005-01-01,310
2005-02-01,311
2005-03-01,312
2005-04-01,312
2005-05-01,312
2005-06-01,313
2005-07-01,315
2005-08-01,315
2005-09-01,316
2005-10-01,316
2005-11-01,316
2005-12-01,315
2006-01-01,312
2006-02-01,311
2006-03-01,311
2006-04-01,310
2006-05-01,310
2006-06-01,309
2006-07-01,309
2006-08-01,310
2006-09-01,309
2006-10-01,312
2006-11-01,313
2006-12-01,314
2007-01-01,315
2007-02-01,316
2007-03-01,316
2007-04-01,316
2007-05-01,318
2007-06-01,318
2007-07-01,318
2007-08-01,318
2007-09-01,319
2007-10-01,320
2007-11-01,321
2007-12-01,318
2008-01-01,318
2008-02-01,316
2008-03-01,315
2008-04-01,315
2008-05-01,314
2008-06-01,315
2008-07-01,314
2008-08-01,315
2008-09-01,316
2008-10-01,315
2008-11-01,316
2008-12-01,317
2009-01-01,318
2009-02-01,318
2009-03-01,318
2009-04-01,317
2009-05-01,318
2009-06-01,316
2009-07-01,315
2009-08-01,315
2009-09-01,315
2009-10-01,316
2009-11-01,315
2009-12-01,315
2010-01-01,317
2010-02-01,317
2010-03-01,317
2010-04-01,317
2010-05-01,316
2010-06-01,315
2010-07-01,315
2010-08-01,314
2010-09-01,314
2010-10-01,313
2010-11-01,311
2010-12-01,310
2011-01-01,310
2011-02-01,309
2011-03-01,310
2011-04-01,309
2011-05-01,309
2011-06-01,309
2011-07-01,310
2011-08-01,310
2011-09-01,308
2011-10-01,307
2011-11-01,306
2011-12-01,309
2012-01-01,309
2012-02-01,311
2012-03-01,312
2012-04-01,311
2012-05-01,310
2012-06-01,309
2012-07-01,308
2012-08-01,307
2012-09-01,305
2012-10-01,304
2012-11-01,302
2012-12-01,301
2013-01-01,300
2013-02-01,299
2013-03-01,297
2013-04-01,298
2013-05-01,296
2013-06-01,296
2013-07-01,296
2013-08-01,295
2013-09-01,293
2013-10-01,291
2013-11-01,290
2013-12-01,289
2014-01-01,288
2014-02-01,287
2014-03-01,286
2014-04-01,285
2014-05-01,285
2014-06-01,283
2014-07-01,282
2014-08-01,283
2014-09-01,282
2014-10-01,282
2014-11-01,283
2014-12-01,282
2015-01-01,282
2015-02-01,282
2015-03-01,281
2015-04-01,281
2015-05-01,280
2015-06-01,278
2015-07-01,277
2015-08-01,276
2015-09-01,276
2015-10-01,276
2015-11-01,277
2015-12-01,276
2016-01-01,276
2016-02-01,276
2016-03-01,275
2016-04-01,275
2016-05-01,276
2016-06-01,275
2016-07-01,275
2016-08-01,275
2016-09-01,276
2016-10-01,275
2016-11-01,274
2016-12-01,273
2017-01-01,271
2017-02-01,271
2017-03-01,271
2017-04-01,270
2017-05-01,270
2017-06-01,270
2017-07-01,270
2017-08-01,270
2017-09-01,270
2017-10-01,271
2017-11-01,273
2017-12-01,274
2018-01-01,274
2018-02-01,274
2018-03-01,275
2018-04-01,276
2018-05-01,278
2018-06-01,279
2018-07-01,279
2018-08-01,279
2018-09-01,278
2018-10-01,278
2018-11-01,278
2018-12-01,279
2019-01-01,279
2019-02-01,279
2019-03-01,280
2019-04-01,279
2019-05-01,279
2019-06-01,279
2019-07-01,278
2019-08-01,279
2019-09-01,278
2019-10-01,278
2019-11-01,277
2019-12-01,278
2020-01-01,277
2020-02-01,276
2020-03-01,276
2020-04-01,275
2020-05-01,275
2020-06-01,274
2020-07-01,275
2020-08-01,274
2020-09-01,274
2020-10-01,274
2020-11-01,276
2020-12-01,277
2021-01-01,277
2021-02-01,277
2021-03-01,278
2021-04-01,278
2021-05-01,278
2021-06-01,278
2021-07-01,277
2021-08-01,277
2021-09-01,277
2021-10-01,277
2021-11-01,276
2021-12-01,275
2022-01-01,275
2022-02-01,274
2022-03-01,273
2022-04-01,272
2022-05-01,269
2022-06-01,268
2022-07-01,268
2022-08-01,267
2022-09-01,266
2022-10-01,264
2022-11-01,264
2022-12-01,263
2023-01-01,262
2023-02-01,262
2023-03-01,261
2023-04-01,260
2023-05-01,259
2023-06-01,258
2023-07-01,258
2023-08-01,257
2023-09-01,256
2023-10-01,255
2023-11-01,254
2023-12-01,252
2024-01-01,251
2024-02-01,251
2024-03-01,249
2024-04-01,248
2024-05-01,247
2024-06-01,246
2024-07-01,245
2024-08-01,244
2024-09-01,242
2024-10-01,241
2024-11-01,240
2024-12-01,239
