date,value
2004-01-01,560
2004-02-01,562
2004-03-01,564
2004-04-01,564
2004-05-01,564
2004-06-01,561
2004-07-01,562
2004-08-01,569
2004-09-01,574
2004-10-01,582
2004-11-01,586
2004-12-01,595
2005-01-01,594
2005-02-01,597
2005-03-01,598
2005-04-01,598
2005-05-01,599
2005-06-01,600
2005-07-01,604
2005-08-01,605
2005-09-01,606
2005-10-01,606
2005-11-01,606
2005-12-01,604
2006-01-01,599
2006-02-01,597
2006-03-01,596
2006-04-01,594
2006-05-01,594
2006-06-01,593
2006-07-01,593
2006-08-01,594
2006-09-01,593
2006-10-01,598
2006-11-01,600
2006-12-01,603
2007-01-01,605
2007-02-01,606
2007-03-01,606
2007-04-01,607
2007-05-01,610
2007-06-01,610
2007-07-01,611
2007-08-01,610
2007-09-01,612
2007-10-01,614
2007-11-01,616
2007-12-01,609
2008-01-01,610
2008-02-01,607
2008-03-01,605
2008-04-01,604
2008-05-01,603
2008-06-01,604
2008-07-01,603
2008-08-01,605
2008-09-01,606
2008-10-01,605
2008-11-01,606
2008-12-01,608
2009-01-01,609
2009-02-01,610
2009-03-01,611
2009-04-01,608
2009-05-01,609
2009-06-01,607
2009-07-01,604
2009-08-01,605
2009-09-01,604
2009-10-01,606
2009-11-01,605
2009-12-01,605
2010-01-01,607
2010-02-01,607
2010-03-01,609
2010-04-01,608
2010-05-01,605
2010-06-01,605
2010-07-01,605
2010-08-01,602
2010-09-01,602
2010-10-01,600
2010-11-01,597
2010-12-01,595
2011-01-01,594
2011-02-01,593
2011-03-01,594
2011-04-01,593
2011-05-01,593
2011-06-01,593
2011-07-01,594
2011-08-01,594
2011-09-01,591
2011-10-01,589
2011-11-01,586
2011-12-01,593
2012-01-01,593
2012-02-01,597
2012-03-01,598
2012-04-01,596
2012-05-01,595
2012-06-01,592
2012-07-01,591
2012-08-01,588
2012-09-01,584
2012-10-01,583
2012-11-01,580
2012-12-01,577
2013-01-01,575
2013-02-01,573
2013-03-01,569
2013-04-01,571
2013-05-01,568
2013-06-01,569
2013-07-01,567
2013-08-01,566
2013-09-01,563
2013-10-01,558
2013-11-01,556
2013-12-01,554
2014-01-01,552
2014-02-01,550
2014-03-01,548
2014-04-01,547
2014-05-01,546
2014-06-01,543
2014-07-01,542
2014-08-01,542
2014-09-01,542
2014-10-01,541
2014-11-01,542
2014-12-01,541
2015-01-01,541
2015-02-01,541
2015-03-01,540
2015-04-01,539
2015-05-01,536
2015-06-01,534
2015-07-01,532
2015-08-01,529
2015-09-01,529
2015-10-01,529
2015-11-01,531
2015-12-01,530
2016-01-01,529
2016-02-01,529
2016-03-01,528
2016-04-01,527
2016-05-01,529
2016-06-01,528
2016-07-01,527
2016-08-01,527
2016-09-01,529
2016-10-01,528
2016-11-01,526
2016-12-01,523
2017-01-01,520
2017-02-01,519
2017-03-01,519
2017-04-01,517
2017-05-01,519
2017-06-01,518
2017-07-01,518
2017-08-01,517
2017-09-01,518
2017-10-01,521
2017-11-01,523
2017-12-01,525
2018-01-01,526
2018-02-01,526
2018-03-01,528
2018-04-01,530
2018-05-01,533
2018-06-01,535
2018-07-01,536
2018-08-01,535
2018-09-01,533
2018-10-01,533
2018-11-01,532
2018-12-01,535
2019-01-01,535
2019-02-01,535
2019-03-01,536
2019-04-01,536
2019-05-01,535
2019-06-01,535
2019-07-01,534
2019-08-01,535
2019-09-01,534
2019-10-01,534
2019-11-01,532
2019-12-01,533
2020-01-01,532
2020-02-01,529
2020-03-01,529
2020-04-01,528
2020-05-01,527
2020-06-01,526
2020-07-01,527
2020-08-01,526
2020-09-01,526
2020-10-01,526
2020-11-01,529
2020-12-01,530
2021-01-01,531
2021-02-01,532
2021-03-01,532
2021-04-01,533
2021-05-01,532
2021-06-01,533
2021-07-01,532
2021-08-01,531
2021-09-01,532
2021-10-01,531
2021-11-01,530
2021-12-01,528
2022-01-01,527
2022-02-01,526
2022-03-01,523
2022-04-01,521
2022-05-01,517
2022-06-01,515
2022-07-01,514
2022-08-01,512
2022-09-01,510
2022-10-01,507
2022-11-01,506
2022-12-01,505
2023-01-01,503
2023-02-01,503
2023-03-01,500
2023-04-01,499
2023-05-01,498
2023-06-01,495
2023-07-01,495
2023-08-01,493
2023-09-01,491
2023-10-01,490
2023-11-01,487
2023-12-01,484
