date,value
2004-01-01,381
2004-02-01,382
2004-03-01,383
2004-04-01,384
2004-05-01,383
2004-06-01,381
2004-07-01,382
2004-08-01,387
2004-09-01,390
2004-10-01,395
2004-11-01,399
2004-12-01,404
2005-01-01,404
2005-02-01,406
2005-03-01,406
2005-04-01,407
2005-05-01,407
2005-06-01,408
2005-07-01,411
2005-08-01,411
2005-09-01,412
2005-10-01,412
2005-11-01,412
2005-12-01,411
2006-01-01,407
2006-02-01,406
2006-03-01,405
2006-04-01,404
2006-05-01,404
2006-06-01,403
2006-07-01,403
2006-08-01,404
2006-09-01,403
2006-10-01,406
2006-11-01,408
2006-12-01,410
2007-01-01,411
2007-02-01,412
2007-03-01,412
2007-04-01,413
2007-05-01,415
2007-06-01,415
2007-07-01,415
2007-08-01,415
2007-09-01,416
2007-10-01,417
2007-11-01,419
2007-12-01,414
2008-01-01,415
2008-02-01,413
2008-03-01,411
2008-04-01,411
2008-05-01,410
2008-06-01,411
2008-07-01,410
2008-08-01,411
2008-09-01,412
2008-10-01,411
2008-11-01,412
2008-12-01,413
2009-01-01,414
2009-02-01,414
2009-03-01,415
2009-04-01,413
2009-05-01,414
2009-06-01,413
2009-07-01,411
2009-08-01,411
2009-09-01,411
2009-10-01,412
2009-11-01,411
2009-12-01,411
2010-01-01,413
2010-02-01,413
2010-03-01,414
2010-04-01,413
2010-05-01,411
2010-06-01,411
2010-07-01,411
2010-08-01,410
2010-09-01,410
2010-10-01,408
2010-11-01,406
2010-12-01,404
2011-01-01,404
2011-02-01,403
2011-03-01,404
2011-04-01,403
2011-05-01,403
2011-06-01,403
2011-07-01,404
2011-08-01,404
2011-09-01,402
2011-10-01,400
2011-11-01,399
2011-12-01,403
2012-01-01,403
2012-02-01,406
2012-03-01,406
2012-04-01,405
2012-05-01,404
2012-06-01,403
2012-07-01,402
2012-08-01,400
2012-09-01,397
2012-10-01,396
2012-11-01,394
2012-12-01,392
2013-01-01,391
2013-02-01,389
2013-03-01,387
2013-04-01,388
2013-05-01,386
2013-06-01,386
2013-07-01,385
2013-08-01,385
2013-09-01,382
2013-10-01,379
2013-11-01,378
2013-12-01,377
2014-01-01,375
2014-02-01,374
2014-03-01,373
2014-04-01,372
2014-05-01,371
2014-06-01,369
2014-07-01,368
2014-08-01,369
2014-09-01,368
2014-10-01,368
2014-11-01,368
2014-12-01,368
2015-01-01,367
2015-02-01,368
2015-03-01,367
2015-04-01,366
2015-05-01,364
2015-06-01,363
2015-07-01,362
2015-08-01,360
2015-09-01,360
2015-10-01,360
2015-11-01,361
2015-12-01,360
2016-01-01,360
2016-02-01,360
2016-03-01,359
2016-04-01,359
2016-05-01,359
2016-06-01,359
2016-07-01,358
2016-08-01,359
2016-09-01,359
2016-10-01,359
2016-11-01,358
2016-12-01,355
2017-01-01,354
2017-02-01,353
2017-03-01,353
2017-04-01,351
2017-05-01,353
2017-06-01,352
2017-07-01,352
2017-08-01,352
2017-09-01,352
2017-10-01,354
2017-11-01,355
2017-12-01,357
2018-01-01,357
2018-02-01,357
2018-03-01,359
2018-04-01,360
2018-05-01,363
2018-06-01,364
2018-07-01,364
2018-08-01,364
2018-09-01,362
2018-10-01,362
2018-11-01,362
2018-12-01,364
2019-01-01,364
2019-02-01,364
2019-03-01,364
2019-04-01,364
2019-05-01,364
2019-06-01,364
2019-07-01,363
2019-08-01,364
2019-09-01,363
2019-10-01,363
2019-11-01,361
2019-12-01,362
2020-01-01,362
2020-02-01,360
2020-03-01,360
2020-04-01,359
2020-05-01,358
2020-06-01,358
2020-07-01,358
2020-08-01,357
2020-09-01,358
2020-10-01,358
2020-11-01,359
2020-12-01,361
2021-01-01,361
2021-02-01,362
2021-03-01,362
2021-04-01,362
2021-05-01,362
2021-06-01,362
2021-07-01,361
2021-08-01,361
2021-09-01,361
2021-10-01,361
2021-11-01,360
2021-12-01,359
2022-01-01,358
2022-02-01,358
2022-03-01,356
2022-04-01,354
2022-05-01,351
2022-06-01,350
2022-07-01,349
2022-08-01,348
2022-09-01,347
2022-10-01,345
2022-11-01,344
2022-12-01,343
2023-01-01,342
2023-02-01,342
2023-03-01,340
2023-04-01,339
2023-05-01,338
2023-06-01,337
2023-07-01,336
2023-08-01,335
2023-09-01,334
2023-10-01,333
2023-11-01,331
2023-12-01,329
