date,value
2004-01-01,303
2004-02-01,304
2004-03-01,305
2004-04-01,306
2004-05-01,305
2004-06-01,303
2004-07-01,304
2004-08-01,308
2004-09-01,311
2004-10-01,315
2004-11-01,317
2004-12-01,322
2005-01-01,322
2005-02-01,323
2005-03-01,323
2005-04-01,324
2005-05-01,324
2005-06-01,325
2005-07-01,327
2005-08-01,327
2005-09-01,328
2005-10-01,328
2005-11-01,328
2005-12-01,327
2006-01-01,324
2006-02-01,323
2006-03-01,322
2006-04-01,321
2006-05-01,322
2006-06-01,321
2006-07-01,321
2006-08-01,321
2006-09-01,321
2006-10-01,324
2006-11-01,325
2006-12-01,326
2007-01-01,327
2007-02-01,328
2007-03-01,328
2007-04-01,329
2007-05-01,330
2007-06-01,330
2007-07-01,331
2007-08-01,330
2007-09-01,331
2007-10-01,332
2007-11-01,333
2007-12-01,330
2008-01-01,330
2008-02-01,329
2008-03-01,327
2008-04-01,327
2008-05-01,326
2008-06-01,327
2008-07-01,326
2008-08-01,327
2008-09-01,328
2008-10-01,327
2008-11-01,328
2008-12-01,329
2009-01-01,330
2009-02-01,330
2009-03-01,331
2009-04-01,329
2009-05-01,330
2009-06-01,329
2009-07-01,327
2009-08-01,327
2009-09-01,327
2009-10-01,328
2009-11-01,327
2009-12-01,327
2010-01-01,329
2010-02-01,329
2010-03-01,329
2010-04-01,329
2010-05-01,328
2010-06-01,327
2010-07-01,328
2010-08-01,326
2010-09-01,326
2010-10-01,325
2010-11-01,323
2010-12-01,322
2011-01-01,321
2011-02-01,321
2011-03-01,322
2011-04-01,321
2011-05-01,321
2011-06-01,321
2011-07-01,322
2011-08-01,322
2011-09-01,320
2011-10-01,319
2011-11-01,317
2011-12-01,321
2012-01-01,321
2012-02-01,323
2012-03-01,324
2012-04-01,323
2012-05-01,322
2012-06-01,321
2012-07-01,320
2012-08-01,318
2012-09-01,316
2012-10-01,316
2012-11-01,314
2012-12-01,313
2013-01-01,311
2013-02-01,310
2013-03-01,308
2013-04-01,309
2013-05-01,308
2013-06-01,308
2013-07-01,307
2013-08-01,307
2013-09-01,305
2013-10-01,302
2013-11-01,301
2013-12-01,300
2014-01-01,299
2014-02-01,298
2014-03-01,297
2014-04-01,296
2014-05-01,296
2014-06-01,294
2014-07-01,293
2014-08-01,294
2014-09-01,293
2014-10-01,293
2014-11-01,293
2014-12-01,293
2015-01-01,293
2015-02-01,293
2015-03-01,292
2015-04-01,292
2015-05-01,290
2015-06-01,289
2015-07-01,288
2015-08-01,287
2015-09-01,287
2015-10-01,286
2015-11-01,288
2015-12-01,287
2016-01-01,286
2016-02-01,286
2016-03-01,286
2016-04-01,286
2016-05-01,286
2016-06-01,286
2016-07-01,285
2016-08-01,286
2016-09-01,286
2016-10-01,286
2016-11-01,285
2016-12-01,283
2017-01-01,282
2017-02-01,281
2017-03-01,281
2017-04-01,280
2017-05-01,281
2017-06-01,280
2017-07-01,281
2017-08-01,280
2017-09-01,281
2017-10-01,282
2017-11-01,283
2017-12-01,284
2018-01-01,284
2018-02-01,285
2018-03-01,286
2018-04-01,287
2018-05-01,289
2018-06-01,290
2018-07-01,290
2018-08-01,289
2018-09-01,288
2018-10-01,288
2018-11-01,288
2018-12-01,289
2019-01-01,290
2019-02-01,290
2019-03-01,290
2019-04-01,290
2019-05-01,289
2019-06-01,290
2019-07-01,289
2019-08-01,290
2019-09-01,289
2019-10-01,289
2019-11-01,288
2019-12-01,288
2020-01-01,288
2020-02-01,287
2020-03-01,287
2020-04-01,286
2020-05-01,285
2020-06-01,285
2020-07-01,285
2020-08-01,285
2020-09-01,285
2020-10-01,285
2020-11-01,286
2020-12-01,287
2021-01-01,287
2021-02-01,288
2021-03-01,288
2021-04-01,289
2021-05-01,288
2021-06-01,288
2021-07-01,288
2021-08-01,288
2021-09-01,288
2021-10-01,288
2021-11-01,287
2021-12-01,286
2022-01-01,285
2022-02-01,285
2022-03-01,283
2022-04-01,282
2022-05-01,280
2022-06-01,279
2022-07-01,278
2022-08-01,277
2022-09-01,276
2022-10-01,275
2022-11-01,274
2022-12-01,273
2023-01-01,272
2023-02-01,272
2023-03-01,271
2023-04-01,270
2023-05-01,269
2023-06-01,268
2023-07-01,268
2023-08-01,267
2023-09-01,266
2023-10-01,265
2023-11-01,263
2023-12-01,262
