date,value
2004-01-01,567
2004-02-01,569
2004-03-01,570
2004-04-01,571
2004-05-01,570
2004-06-01,567
2004-07-01,568
2004-08-01,575
2004-09-01,581
2004-10-01,588
2004-11-01,593
2004-12-01,601
2005-01-01,601
2005-02-01,603
2005-03-01,604
2005-04-01,605
2005-05-01,606
2005-06-01,607
2005-07-01,611
2005-08-01,612
2005-09-01,612
2005-10-01,612
2005-11-01,612
2005-12-01,611
2006-01-01,605
2006-02-01,604
2006-03-01,602
2006-04-01,600
2006-05-01,601
2006-06-01,600
2006-07-01,599
2006-08-01,600
2006-09-01,599
2006-10-01,604
2006-11-01,606
2006-12-01,610
2007-01-01,611
2007-02-01,613
2007-03-01,613
2007-04-01,614
2007-05-01,617
2007-06-01,617
2007-07-01,618
2007-08-01,617
2007-09-01,619
2007-10-01,621
2007-11-01,623
2007-12-01,616
2008-01-01,617
2008-02-01,614
2008-03-01,611
2008-04-01,611
2008-05-01,610
2008-06-01,611
2008-07-01,610
2008-08-01,611
2008-09-01,613
2008-10-01,612
2008-11-01,613
2008-12-01,615
2009-01-01,616
2009-02-01,617
2009-03-01,618
2009-04-01,615
2009-05-01,616
2009-06-01,614
2009-07-01,611
2009-08-01,612
2009-09-01,611
2009-10-01,613
2009-11-01,612
2009-12-01,612
2010-01-01,614
2010-02-01,614
2010-03-01,615
2010-04-01,615
2010-05-01,612
2010-06-01,612
2010-07-01,612
2010-08-01,609
2010-09-01,609
2010-10-01,607
2010-11-01,604
2010-12-01,602
2011-01-01,600
2011-02-01,600
2011-03-01,601
2011-04-01,599
2011-05-01,600
2011-06-01,600
2011-07-01,601
2011-08-01,601
2011-09-01,598
2011-10-01,595
2011-11-01,593
2011-12-01,600
2012-01-01,600
2012-02-01,604
2012-03-01,604
2012-04-01,603
2012-05-01,602
2012-06-01,599
2012-07-01,598
2012-08-01,595
2012-09-01,591
2012-10-01,590
2012-11-01,586
2012-12-01,584
2013-01-01,581
2013-02-01,579
2013-03-01,576
2013-04-01,577
2013-05-01,575
2013-06-01,575
2013-07-01,573
2013-08-01,573
2013-09-01,569
2013-10-01,564
2013-11-01,562
2013-12-01,561
2014-01-01,558
2014-02-01,556
2014-03-01,554
2014-04-01,553
2014-05-01,552
2014-06-01,549
2014-07-01,548
2014-08-01,549
2014-09-01,548
2014-10-01,547
2014-11-01,548
2014-12-01,547
2015-01-01,547
2015-02-01,547
2015-03-01,546
2015-04-01,545
2015-05-01,542
2015-06-01,540
2015-07-01,538
2015-08-01,535
2015-09-01,535
2015-10-01,535
2015-11-01,537
2015-12-01,536
2016-01-01,535
2016-02-01,535
2016-03-01,534
2016-04-01,533
2016-05-01,535
2016-06-01,534
2016-07-01,533
2016-08-01,533
2016-09-01,535
2016-10-01,534
2016-11-01,532
2016-12-01,529
2017-01-01,526
2017-02-01,525
2017-03-01,525
2017-04-01,523
2017-05-01,525
2017-06-01,524
2017-07-01,524
2017-08-01,523
2017-09-01,524
2017-10-01,526
2017-11-01,529
2017-12-01,531
2018-01-01,531
2018-02-01,532
2018-03-01,534
2018-04-01,536
2018-05-01,539
2018-06-01,541
2018-07-01,542
2018-08-01,541
2018-09-01,539
2018-10-01,539
2018-11-01,538
2018-12-01,541
2019-01-01,542
2019-02-01,541
2019-03-01,542
2019-04-01,542
2019-05-01,541
2019-06-01,541
2019-07-01,540
2019-08-01,541
2019-09-01,540
2019-10-01,540
2019-11-01,538
2019-12-01,539
2020-01-01,538
2020-02-01,535
2020-03-01,535
2020-04-01,534
2020-05-01,533
2020-06-01,532
2020-07-01,533
2020-08-01,532
2020-09-01,532
2020-10-01,532
2020-11-01,535
2020-12-01,536
2021-01-01,537
2021-02-01,538
2021-03-01,538
2021-04-01,539
2021-05-01,538
2021-06-01,539
2021-07-01,538
2021-08-01,537
2021-09-01,538
2021-10-01,537
2021-11-01,536
2021-12-01,534
2022-01-01,533
2022-02-01,532
2022-03-01,529
2022-04-01,527
2022-05-01,523
2022-06-01,520
2022-07-01,519
2022-08-01,518
2022-09-01,516
2022-10-01,513
2022-11-01,512
2022-12-01,510
2023-01-01,509
2023-02-01,509
2023-03-01,506
2023-04-01,504
2023-05-01,503
2023-06-01,501
2023-07-01,501
2023-08-01,499
2023-09-01,497
2023-10-01,495
2023-11-01,492
2023-12-01,490
2024-01-01,487
2024-02-01,486
2024-03-01,483
2024-04-01,482
2024-05-01,480
2024-06-01,478
2024-07-01,474
2024-08-01,473
2024-09-01,468
2024-10-01,467
2024-11-01,465
2024-12-01,464
