date,value
2004-01-01,149
2004-02-01,150
2004-03-01,150
2004-04-01,150
2004-05-01,150
2004-06-01,149
2004-07-01,150
2004-08-01,152
2004-09-01,153
2004-10-01,155
2004-11-01,156
2004-12-01,158
2005-01-01,158
2005-02-01,159
2005-03-01,159
2005-04-01,159
2005-05-01,160
2005-06-01,160
2005-07-01,161
2005-08-01,161
2005-09-01,161
2005-10-01,161
2005-11-01,161
2005-12-01,161
2006-01-01,159
2006-02-01,159
2006-03-01,159
2006-04-01,158
2006-05-01,158
2006-06-01,158
2006-07-01,158
2006-08-01,158
2006-09-01,158
2006-10-01,159
2006-11-01,160
2006-12-01,161
2007-01-01,161
2007-02-01,161
2007-03-01,162
2007-04-01,162
2007-05-01,163
2007-06-01,163
2007-07-01,163
2007-08-01,163
2007-09-01,163
2007-10-01,164
2007-11-01,164
2007-12-01,162
2008-01-01,163
2008-02-01,162
2008-03-01,161
2008-04-01,161
2008-05-01,161
2008-06-01,161
2008-07-01,161
2008-08-01,161
2008-09-01,161
2008-10-01,161
2008-11-01,161
2008-12-01,162
2009-01-01,162
2009-02-01,162
2009-03-01,163
2009-04-01,162
2009-05-01,162
2009-06-01,162
2009-07-01,161
2009-08-01,161
2009-09-01,161
2009-10-01,161
2009-11-01,161
2009-12-01,161
2010-01-01,162
2010-02-01,162
2010-03-01,162
2010-04-01,162
2010-05-01,161
2010-06-01,161
2010-07-01,161
2010-08-01,161
2010-09-01,161
2010-10-01,160
2010-11-01,159
2010-12-01,159
2011-01-01,158
2011-02-01,158
2011-03-01,158
2011-04-01,158
2011-05-01,158
2011-06-01,158
2011-07-01,158
2011-08-01,158
2011-09-01,158
2011-10-01,157
2011-11-01,156
2011-12-01,158
2012-01-01,158
2012-02-01,159
2012-03-01,159
2012-04-01,159
2012-05-01,159
2012-06-01,158
2012-07-01,158
2012-08-01,157
2012-09-01,156
2012-10-01,155
2012-11-01,154
2012-12-01,154
2013-01-01,153
2013-02-01,153
2013-03-01,152
2013-04-01,152
2013-05-01,151
2013-06-01,151
2013-07-01,151
2013-08-01,151
2013-09-01,150
2013-10-01,149
2013-11-01,148
2013-12-01,148
2014-01-01,147
2014-02-01,147
2014-03-01,146
2014-04-01,146
2014-05-01,145
2014-06-01,145
2014-07-01,144
2014-08-01,145
2014-09-01,144
2014-10-01,144
2014-11-01,144
2014-12-01,144
2015-01-01,144
2015-02-01,144
2015-03-01,144
2015-04-01,144
2015-05-01,143
2015-06-01,142
2015-07-01,142
2015-08-01,141
2015-09-01,141
2015-10-01,141
2015-11-01,142
2015-12-01,141
2016-01-01,141
2016-02-01,141
2016-03-01,141
2016-04-01,141
2016-05-01,141
2016-06-01,141
2016-07-01,140
2016-08-01,141
2016-09-01,141
2016-10-01,141
2016-11-01,140
2016-12-01,139
2017-01-01,139
2017-02-01,138
2017-03-01,138
2017-04-01,138
2017-05-01,138
2017-06-01,138
2017-07-01,138
2017-08-01,138
2017-09-01,138
2017-10-01,139
2017-11-01,139
2017-12-01,140
2018-01-01,140
2018-02-01,140
2018-03-01,141
2018-04-01,141
2018-05-01,142
2018-06-01,143
2018-07-01,143
2018-08-01,142
2018-09-01,142
2018-10-01,142
2018-11-01,142
2018-12-01,142
2019-01-01,143
2019-02-01,143
2019-03-01,143
2019-04-01,143
2019-05-01,142
2019-06-01,143
2019-07-01,142
2019-08-01,143
2019-09-01,142
2019-10-01,142
2019-11-01,142
2019-12-01,142
2020-01-01,142
2020-02-01,141
2020-03-01,141
2020-04-01,141
2020-05-01,140
2020-06-01,140
2020-07-01,140
2020-08-01,140
2020-09-01,140
2020-10-01,140
2020-11-01,141
2020-12-01,141
2021-01-01,141
2021-02-01,142
2021-03-01,142
2021-04-01,142
2021-05-01,142
2021-06-01,142
2021-07-01,142
2021-08-01,142
2021-09-01,142
2021-10-01,142
2021-11-01,141
2021-12-01,141
2022-01-01,141
2022-02-01,140
2022-03-01,139
2022-04-01,139
2022-05-01,138
2022-06-01,137
2022-07-01,137
2022-08-01,136
2022-09-01,136
2022-10-01,135
2022-11-01,135
2022-12-01,134
2023-01-01,134
2023-02-01,134
2023-03-01,133
2023-04-01,133
2023-05-01,133
2023-06-01,132
2023-07-01,132
2023-08-01,131
2023-09-01,131
2023-10-01,131
2023-11-01,130
2023-12-01,129
2024-01-01,128
2024-02-01,128
2024-03-01,127
2024-04-01,127
2024-05-01,126
2024-06-01,126
2024-07-01,125
2024-08-01,125
2024-09-01,123
2024-10-01,123
2024-11-01,123
2024-12-01,122
