mother_id,n_children,lat,lon,geometry,creche_mais_proxima,distancia_metros
mother_0000001,2,-4.87844768610609,-43.34804157366644,POINT (-43.34804157366644 -4.87844768610609),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,286.2980121423004
mother_0000002,1,-4.8730153809989964,-43.34662487403095,POINT (-43.34662487403095 -4.8730153809989964),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,842.1267530705499
mother_0000003,2,-4.831816722636562,-43.36116775735257,POINT (-43.36116775735257 -4.831816722636562),Escola Comunitaria Educandario Eva Silva Magalhaes Municipal,1237.7850226167307
mother_0000004,1,-4.886684589375686,-43.34839426912734,POINT (-43.34839426912734 -4.886684589375686),Escola Municipal São Raimundo Municipal,1308.0184414438138
mother_0000005,1,-4.857463196207634,-43.33924531913996,POINT (-43.33924531913996 -4.857463196207634),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,1419.36498619964
mother_0000006,1,-4.846320902294335,-43.35301200162575,POINT (-43.35301200162575 -4.846320902294335),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,394.9694830761614
mother_0000007,1,-4.8600809481080764,-43.35022347526998,POINT (-43.35022347526998 -4.8600809481080764),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,698.3722432775402
mother_0000008,1,-4.817410319155743,-43.3468393266441,POINT (-43.3468393266441 -4.817410319155743),Centro de Educação Infantil Profa Maria Benedita Pereira da Silva Municipal,3320.8561215147665
mother_0000009,1,-4.874787552937144,-43.36329486305131,POINT (-43.36329486305131 -4.874787552937144),Centro de Educação Infantil Prefeito Aluizio Lobo Municipal,555.0980821053404
mother_0000010,1,-4.898396411098382,-43.3514266694375,POINT (-43.3514266694375 -4.898396411098382),Unidade Escolar Municipal Francisco Dias Brandao Municipal,847.1423295628999
mother_0000011,1,-4.877001293494651,-43.34334010006225,POINT (-43.34334010006225 -4.877001293494651),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,650.0877303077393
mother_0000012,1,-4.875138284972233,-43.367848270922295,POINT (-43.367848270922295 -4.875138284972233),Centro de Educação Infantil Rosina Municipal,456.50648687278203
mother_0000013,1,-4.87192935314262,-43.336233341134594,POINT (-43.336233341134594 -4.87192935314262),Centro de Educação Infantil Engenho Dagua Municipal,1457.4245900592061
