neighborhood,valor_atual,method,n_obs,prev_12_meses,forecast_list_12,prev_24_meses,forecast_list_24,prev_36_meses,forecast_list_36
Antenor Viana,371,arima,240,365,"[369.85605737121574, 368.8870630807828, 368.06626148526095, 367.37098880319985, 366.7820473281128, 366.28317534590076, 365.8605981202105, 365.5026475476403, 365.1994399808008, 364.94260332335773, 364.7250458616687, 364.5407604500465]",364,"[369.85605737121574, 368.8870630807828, 368.06626148526095, 367.37098880319985, 366.7820473281128, 366.28317534590076, 365.8605981202105, 365.5026475476403, 365.1994399808008, 364.94260332335773, 364.7250458616687, 364.5407604500465, 364.384658642859, 364.2524301935602, 364.1404240411717, 364.0455474980419, 363.965180855279, 363.89710504796227, 363.83944038284125, 363.7905946366858, 363.74921909219114, 363.71417129751154, 363.6844835211474, 363.65933603116963]",364,"[369.85605737121574, 368.8870630807828, 368.06626148526095, 367.37098880319985, 366.7820473281128, 366.28317534590076, 365.8605981202105, 365.5026475476403, 365.1994399808008, 364.94260332335773, 364.7250458616687, 364.5407604500465, 364.384658642859, 364.2524301935602, 364.1404240411717, 364.0455474980419, 363.965180855279, 363.89710504796227, 363.83944038284125, 363.7905946366858, 363.74921909219114, 363.71417129751154, 363.6844835211474, 363.65933603116963, 363.63803446097364, 363.6199906365914, 363.60470633616933, 363.5917595331832, 363.58079274354077, 363.5715031548145, 363.5636342650557, 363.5569688003231, 363.5513227153653, 363.54654011180656, 363.54248893351735, 363.53905732031143]"
Bacuri,135,arima,240,132,"[134.65512818650117, 134.32891982054824, 134.02036489128886, 133.72850804668545, 133.45244563554095, 133.19132290960155, 132.9443313770733, 132.71070629935866, 132.48972432326227, 132.28070124133475, 132.08298987342022, 131.89597806284803]",130,"[134.65512818650117, 134.32891982054824, 134.02036489128886, 133.72850804668545, 133.45244563554095, 133.19132290960155, 132.9443313770733, 132.71070629935866, 132.48972432326227, 132.28070124133475, 132.08298987342022, 131.89597806284803, 131.719086781065, 131.55176833483898, 131.3935046704837, 131.24380576985368, 131.10220813314325, 130.96827334379213, 130.84158671105394, 130.72175598602502, 130.6084101471579, 130.50119825149937, 130.39978834809594, 130.30386645020272]",129,"[134.65512818650117, 134.32891982054824, 134.02036489128886, 133.72850804668545, 133.45244563554095, 133.19132290960155, 132.9443313770733, 132.71070629935866, 132.48972432326227, 132.28070124133475, 132.08298987342022, 131.89597806284803, 131.719086781065, 131.55176833483898, 131.3935046704837, 131.24380576985368, 131.10220813314325, 130.96827334379213, 130.84158671105394, 130.72175598602502, 130.6084101471579, 130.50119825149937, 130.39978834809594, 130.30386645020272, 130.2131355631134, 130.12731476460107, 130.04613833512292, 129.9693549350958, 129.89672682669504, 129.82802913776737, 129.76304916557862, 129.70158571824058, 129.6434484917779, 129.58845748090627, 129.53644242169764, 129.4872422644066]"
Baixinha,25,arima,240,25,"[25.000000006737, 25.000000004484765, 25.000000005237705, 25.000000004985992, 25.00000000507014, 25.00000000504201, 25.000000005051415, 25.00000000504827, 25.000000005049323, 25.00000000504897, 25.00000000504909, 25.00000000504905]",25,"[25.000000006737, 25.000000004484765, 25.000000005237705, 25.000000004985992, 25.00000000507014, 25.00000000504201, 25.000000005051415, 25.00000000504827, 25.000000005049323, 25.00000000504897, 25.00000000504909, 25.00000000504905, 25.000000005049063, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906]",25,"[25.000000006737, 25.000000004484765, 25.000000005237705, 25.000000004985992, 25.00000000507014, 25.00000000504201, 25.000000005051415, 25.00000000504827, 25.000000005049323, 25.00000000504897, 25.00000000504909, 25.00000000504905, 25.000000005049063, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906, 25.00000000504906]"
Bela Vista,167,arima,240,163,"[166.4816866585056, 166.0166914149892, 165.59952951853973, 165.2252804261548, 164.8895297635391, 164.5883172563062, 164.31809001741803, 164.0756606398734, 163.8581696003376, 163.6630515302528, 163.48800495658767, 163.33096515530946]",162,"[166.4816866585056, 166.0166914149892, 165.59952951853973, 165.2252804261548, 164.8895297635391, 164.5883172563062, 164.31809001741803, 164.0756606398734, 163.8581696003376, 163.6630515302528, 163.48800495658767, 163.33096515530946, 163.19007979737793, 163.06368709999842, 162.950296225422, 162.84856969609095, 162.7573076187113, 162.67543353117074, 162.60198170536236, 162.53608575614751, 162.47696842209712, 162.4239323974724, 162.37635210730585, 162.3336663285667]",162,"[166.4816866585056, 166.0166914149892, 165.59952951853973, 165.2252804261548, 164.8895297635391, 164.5883172563062, 164.31809001741803, 164.0756606398734, 163.8581696003376, 163.6630515302528, 163.48800495658767, 163.33096515530946, 163.19007979737793, 163.06368709999842, 162.950296225422, 162.84856969609095, 162.7573076187113, 162.67543353117074, 162.60198170536236, 162.53608575614751, 162.47696842209712, 162.4239323974724, 162.37635210730585, 162.3336663285667, 162.2953715703761, 162.26101613518912, 162.23019479089416, 162.20254399098494, 162.1777375864264, 162.1554829786341, 162.135517668191, 162.1176061585922, 162.1015371784968, 162.08712118972258, 162.07418815158917, 162.06258551524007]"
Caldeirões,93,arima,240,93,"[93.17855698269172, 93.06536623282916, 93.13712005427767, 93.09163390899886, 93.12046846262342, 93.10218967734426, 93.11377695542846, 93.10643155411486, 93.11108794710601, 93.10813616887602, 93.1100073586007, 93.10882117498089]",93,"[93.17855698269172, 93.06536623282916, 93.13712005427767, 93.09163390899886, 93.12046846262342, 93.10218967734426, 93.11377695542846, 93.10643155411486, 93.11108794710601, 93.10813616887602, 93.1100073586007, 93.10882117498089, 93.10957311988597, 93.10909644736172, 93.10939861936107, 93.10920706664396, 93.10932849564304, 93.10925151943492, 93.10930031615285, 93.10926938296274, 93.10928899211457, 93.1092765614912, 93.10928444150552, 93.10927944621093]",93,"[93.17855698269172, 93.06536623282916, 93.13712005427767, 93.09163390899886, 93.12046846262342, 93.10218967734426, 93.11377695542846, 93.10643155411486, 93.11108794710601, 93.10813616887602, 93.1100073586007, 93.10882117498089, 93.10957311988597, 93.10909644736172, 93.10939861936107, 93.10920706664396, 93.10932849564304, 93.10925151943492, 93.10930031615285, 93.10926938296274, 93.10928899211457, 93.1092765614912, 93.10928444150552, 93.10927944621093, 93.1092826128255, 93.10928060544684, 93.10928187796328, 93.10928107129033, 93.10928158265602, 93.10928125849134, 93.10928146398564, 93.1092813337188, 93.10928141629749, 93.10928136394925, 93.10928139713381, 93.10928137609747]"
Campo de Belém,459,arima,240,451,"[457.60936775115715, 456.4217534755112, 455.4075186417572, 454.5413516386361, 453.8016360892117, 453.169911384751, 452.63041197509756, 452.1696739179008, 451.7761988676022, 451.44016711856574, 451.1531925409533, 450.90811329343575]",450,"[457.60936775115715, 456.4217534755112, 455.4075186417572, 454.5413516386361, 453.8016360892117, 453.169911384751, 452.63041197509756, 452.1696739179008, 451.7761988676022, 451.44016711856574, 451.1531925409533, 450.90811329343575, 450.69881308969127, 450.5200685581522, 450.36741888565535, 450.23705449177567, 450.12572195555964, 450.03064282197556, 449.94944426178506, 449.8800998543586, 449.82087901558947, 449.7703038088111, 449.727112060875, 449.6902258629016]",450,"[457.60936775115715, 456.4217534755112, 455.4075186417572, 454.5413516386361, 453.8016360892117, 453.169911384751, 452.63041197509756, 452.1696739179008, 451.7761988676022, 451.44016711856574, 451.1531925409533, 450.90811329343575, 450.69881308969127, 450.5200685581522, 450.36741888565535, 450.23705449177567, 450.12572195555964, 450.03064282197556, 449.94944426178506, 449.8800998543586, 449.82087901558947, 449.7703038088111, 449.727112060875, 449.6902258629016, 449.65872466959627, 449.63182232578794, 449.60884744685666, 449.58922666341607, 449.57247031209977, 449.5581602153452, 449.54593924520316, 449.5355024107238, 449.52658924649177, 449.51897731235755, 449.51247664214037, 449.5069250027637]"
Cangalheiro,295,arima,240,289,"[293.9348978222202, 293.0297637896389, 292.26057221907547, 291.6069058548372, 291.0514139174729, 290.5793515484136, 290.17818842561616, 289.8372761613886, 289.54756565387663, 289.30136688964905, 289.0921448216345, 288.914345904237]",288,"[293.9348978222202, 293.0297637896389, 292.26057221907547, 291.6069058548372, 291.0514139174729, 290.5793515484136, 290.17818842561616, 289.8372761613886, 289.54756565387663, 289.30136688964905, 289.0921448216345, 288.914345904237, 288.76325068121525, 288.6348485134509, 288.52573112140595, 288.43300211648335, 288.3542001199108, 288.2872334284316, 288.23032449258324, 288.18196273380653, 288.14086444797306, 288.1059387310187, 288.07625852222066, 288.05103599649715]",288,"[293.9348978222202, 293.0297637896389, 292.26057221907547, 291.6069058548372, 291.0514139174729, 290.5793515484136, 290.17818842561616, 289.8372761613886, 289.54756565387663, 289.30136688964905, 289.0921448216345, 288.914345904237, 288.76325068121525, 288.6348485134509, 288.52573112140595, 288.43300211648335, 288.3542001199108, 288.2872334284316, 288.23032449258324, 288.18196273380653, 288.14086444797306, 288.1059387310187, 288.07625852222066, 288.05103599649715, 288.02960165254757, 288.0113865417539, 287.995907166131, 287.9827526444601, 287.97157380594575, 287.9620739219016, 287.9540008294478, 287.9471402381538, 287.9413100419591, 287.93635548538936, 287.93214505576, 287.928566992332]"
Castelo Branco,151,arima,240,147,"[150.55132419624633, 150.13387561175895, 149.74548087499664, 149.38411787809034, 149.0479052490994, 148.73509255698437, 148.44405119830037, 148.17326591816385, 147.9213269213485, 147.6869225324382, 147.46883236682282, 147.2659209769839]",146,"[150.55132419624633, 150.13387561175895, 149.74548087499664, 149.38411787809034, 149.0479052490994, 148.73509255698437, 148.44405119830037, 148.17326591816385, 147.9213269213485, 147.6869225324382, 147.46883236682282, 147.2659209769839, 147.07713194098957, 146.90148236242254, 146.73805775310512, 146.58600727197998, 146.4445392953579, 146.31291729547044, 146.19045600586946, 146.07651785370984, 145.97050964034014, 145.87187945291976, 145.78011379098322, 145.69473489299168]",145,"[150.55132419624633, 150.13387561175895, 149.74548087499664, 149.38411787809034, 149.0479052490994, 148.73509255698437, 148.44405119830037, 148.17326591816385, 147.9213269213485, 147.6869225324382, 147.46883236682282, 147.2659209769839, 147.07713194098957, 146.90148236242254, 146.73805775310512, 146.58600727197998, 146.4445392953579, 146.31291729547044, 146.19045600586946, 146.07651785370984, 145.97050964034014, 145.87187945291976, 145.78011379098322, 145.69473489299168, 145.61529824895274, 145.54139028615856, 145.47262621599327, 145.40864803059986, 145.3491226389761, 145.29374013279565, 145.2422121729258, 145.19427048824116, 145.1496654789179, 145.10816491693697, 145.06955273703014, 145.03362791177494]"
Centro,619,arima,240,608,"[617.0175511172957, 615.3510940554256, 613.9502613967452, 612.7727140224231, 611.7828614442578, 610.9507861088052, 610.2513391617135, 609.6633803424202, 609.1691390355958, 608.7536771675944, 608.4044377143562, 608.1108651747512]",607,"[617.0175511172957, 615.3510940554256, 613.9502613967452, 612.7727140224231, 611.7828614442578, 610.9507861088052, 610.2513391617135, 609.6633803424202, 609.1691390355958, 608.7536771675944, 608.4044377143562, 608.1108651747512, 607.8640865384574, 607.6566431058634, 607.4822650544539, 607.3356819381165, 607.2124633918515, 607.1088852273056, 607.0218168719654, 606.9486267499461, 606.8871027445797, 606.8353853388438, 606.7919114128516, 606.7553669997225]",607,"[617.0175511172957, 615.3510940554256, 613.9502613967452, 612.7727140224231, 611.7828614442578, 610.9507861088052, 610.2513391617135, 609.6633803424202, 609.1691390355958, 608.7536771675944, 608.4044377143562, 608.1108651747512, 607.8640865384574, 607.6566431058634, 607.4822650544539, 607.3356819381165, 607.2124633918515, 607.1088852273056, 607.0218168719654, 606.9486267499461, 606.8871027445797, 606.8353853388438, 606.7919114128516, 606.7553669997225, 606.7246475719166, 606.6988246577168, 606.6771177788652, 606.6588708611923, 606.6435324052661, 606.6306388177343, 606.6198003995623, 606.6106895676717, 606.6030309539863, 606.5965930826386, 606.5911813737848, 606.5866322625745]"
Dinir Silva,180,arima,240,177,"[179.5303407857433, 179.1244171331168, 178.77357974558163, 178.47035308781955, 178.20827609932203, 177.98176452409695, 177.78599192305668, 177.61678683373628, 177.47054388605213, 177.34414698018333, 177.23490288967366, 177.14048387498931]",177,"[179.5303407857433, 179.1244171331168, 178.77357974558163, 178.47035308781955, 178.20827609932203, 177.98176452409695, 177.78599192305668, 177.61678683373628, 177.47054388605213, 177.34414698018333, 177.23490288967366, 177.14048387498931, 177.05887808475964, 176.98834668786597, 176.92738682296215, 176.8746995759664, 176.82916230319893, 176.78980471043528, 176.75578817817475, 176.7263878925938, 176.7009774014355, 176.67901526575733, 176.6600335231164, 176.64362771636942]",177,"[179.5303407857433, 179.1244171331168, 178.77357974558163, 178.47035308781955, 178.20827609932203, 177.98176452409695, 177.78599192305668, 177.61678683373628, 177.47054388605213, 177.34414698018333, 177.23490288967366, 177.14048387498931, 177.05887808475964, 176.98834668786597, 176.92738682296215, 176.8746995759664, 176.82916230319893, 176.78980471043528, 176.75578817817475, 176.7263878925938, 176.7009774014355, 176.67901526575733, 176.6600335231164, 176.64362771636942, 176.62944827562418, 176.61719306971148, 176.6066009684671, 176.5974462786503, 176.58953393494173, 176.58269534355136, 176.57678478987387, 176.5716763336465, 176.56726112545266, 176.56344508739198, 176.5601469084973, 176.55729631218554]"
